anchor,positive,negative,lang
The girl had the flightiness of a sparrow,The girl was very fickle.,The girl was very stable.,en_dev
The girl had the flightiness of a rock,The girl was very stable.,The girl was very fickle.,en_dev
It was as peaceful as a church.,It was very peaceful.,"It was full of conflict and danger, not peace.",en_dev
It was as peaceful as a battlefield.,"It was full of conflict and danger, not peace.",It was very peaceful.,en_dev
The leaves were as green as grass,The leaves were very green,The leaves were brown and not green at all.,en_dev
The leaves were as green as dirt,The leaves were brown and not green at all.,The leaves were very green,en_dev
Shopping for groceries is finding shells on a sunny beach,"Shopping for groceries is a fun, rewarding chore","Shopping for groceries is a crazy, nearly impossible chore",en_dev
Shopping for groceries is a scavenger hunt with a list created by a lunatic,"Shopping for groceries is a crazy, nearly impossible chore","Shopping for groceries is a fun, rewarding chore",en_dev
War is an amputation on the wrong limb,War is the wrong solution to a problem,War is a necessary solution,en_dev
War is an amputation to save your life,War is a necessary solution,War is the wrong solution to a problem,en_dev
It's as green as grass in the spring,It's fairy green,It's not too green,en_dev
It's as green as grass during a hot summer,It's not too green,It's fairy green,en_dev
This is as peaceful as a sleeping puppy,It's very peaceful,It's not very peaceful,en_dev
This is as peaceful as European in the '40s,It's not very peaceful,It's very peaceful,en_dev
The music was loud like a siren.,The music was very loud.,The music was very quiet.,en_dev
The music was loud like a whisper.,The music was very quiet.,The music was very loud.,en_dev
Jobs are as available as a marriage man.,Jobs are not available.,Jobs are very available.,en_dev
Jobs are as available as a bachelor.,Jobs are very available.,Jobs are not available.,en_dev
Peace is a human flying,Peace is impossible,Peace is possible,en_dev
Peace is a human walking,Peace is possible,Peace is impossible,en_dev
Plants are a lullaby,Plants are calming,Plants are disturbing,en_dev
Plants are a loud drum,Plants are disturbing,Plants are calming,en_dev
The car was as ugly as a one eyed rat,it was hideous,it was beautiful,en_dev
The car was as ugly as a swan,it was beautiful,it was hideous,en_dev
The man was as handsome as a prince,he was good looking,he was ugly,en_dev
The man was as handsome as a hobo,he was ugly,he was good looking,en_dev
The conversation was sharp as a tack,The conversation was sharp and witty.,The conversation was dull and not sharp.,en_dev
The conversation was sharp as a rock,The conversation was dull and not sharp.,The conversation was sharp and witty.,en_dev
He ate it like a fat boy eats cake,The food was tasty to him,The food was unpalatable to him,en_dev
He ate it like a young boy eats broccoli,The food was unpalatable to him,The food was tasty to him,en_dev
He picked it up like a mother holding a baby,He held it with pride and care,He held it with disgust and caution,en_dev
He picked it up like a playboy holding a condom,He held it with disgust and caution,He held it with pride and care,en_dev
He rushed through the math test like an ape,He rushed because he is dumb,He rushed because he is smart,en_dev
He rushed through the math test like a rocket scientist,He rushed because he is smart,He rushed because he is dumb,en_dev
The bear was as hungry as a lion,it was starving,it didn't need food,en_dev
The bear was as hungry as a piece of paper,it didn't need food,it was starving,en_dev
That conversation had the ease of doing your taxes blindfolded.,Having that conversation was difficult,Having that conversation was easy.,en_dev
That conversation had the ease of a Sunday morning.,Having that conversation was easy.,Having that conversation was difficult,en_dev
Their conversations were artillery bombardments.,Their conversations were heated and antagonistic.,Their conversations were friendly.,en_dev
Their conversations were a hug with words.,Their conversations were friendly.,Their conversations were heated and antagonistic.,en_dev
The story was as disturbing as a nightmare,The story was very disturbing.,"The story failed to be disturbing, and in fact seemed cute.",en_dev
The story was as disturbing as a newborn puppy,"The story failed to be disturbing, and in fact seemed cute.",The story was very disturbing.,en_dev
Their expectations of the house they could afford turned into melted ice.,Their expectations were not met.,Their expectations were exceeded.,en_dev
Their expectations of the house they could afford leapt past the second story.,Their expectations were exceeded.,Their expectations were not met.,en_dev
Those that heard the child sing were carried away on gentle waves.,Those that heard the singing were pleasantly entertained.,Those that heard the singing were unpleasantly inundated.,en_dev
Those that heard the child sing were tortured by the intruding notes.,Those that heard the singing were unpleasantly inundated.,Those that heard the singing were pleasantly entertained.,en_dev
She sings like an angel,her voice is magical,her voice is awful,en_dev
She sings like a bullfrog,her voice is awful,her voice is magical,en_dev
HIs opinions were as firm as concrete,He was very certain of his opinion,He was very uncertain of his opinion,en_dev
HIs opinions were as firm as a cotton ball,He was very uncertain of his opinion,He was very certain of his opinion,en_dev
The pilot landed the plane like he was handling a new born baby.,The landing was smooth and gentle,The landing was bumpy and rough,en_dev
The pilot landed the plane like it was on a roller coaster.,The landing was bumpy and rough,The landing was smooth and gentle,en_dev
The man's personality is like a Beanie Baby,The man has a soft personality.,The man has a hard personality.,en_dev
The man's personality is like a drill sergeant,The man has a hard personality.,The man has a soft personality.,en_dev
The poster was as colorful as a rainbow,The poster has a lot of color.,The poster was dull and colorless.,en_dev
The poster was as colorful as a sidewalk,The poster was dull and colorless.,The poster has a lot of color.,en_dev
She is as eager as a beaver,she is excited,she is bored,en_dev
She is as eager as a sloth,she is bored,she is excited,en_dev
The motor on the boat is a Babbling drunk,It is barely running,It is running strong,en_dev
The motor on the boat is a Roaring lion,It is running strong,It is barely running,en_dev
The lawyer's opening argument was a Russian novel.,The lawyer's opening argument was long.,The lawyer's opening argument was tawdry.,en_dev
The lawyer's opening argument was an airport paperback.,The lawyer's opening argument was tawdry.,The lawyer's opening argument was long.,en_dev
The house had the cleanliness of a museum,The house was very clean.,The house was a mess.,en_dev
The house had the cleanliness of a paintball arena,The house was a mess.,The house was very clean.,en_dev
The grapes had the freshness of a secondhand toy.,The grapes weren't fresh.,The grapes were very fresh.,en_dev
The grapes had the freshness of an early summer morning.,The grapes were very fresh.,The grapes weren't fresh.,en_dev
The toy had the enjoyment of an execution,The toy was not fun,The toy was fun,en_dev
The toy had the enjoyment of roller coaster,The toy was fun,The toy was not fun,en_dev
The movie's message was as heartwarming as a cup of mint tea,The movie message was very heartwarming.,The movie's message wasn't heartwarming at all.,en_dev
The movie's message was as heartwarming as a Popsicle,The movie's message wasn't heartwarming at all.,The movie message was very heartwarming.,en_dev
The book was as classic as pancakes for breakfast,The book was very classic.,The book wasn't a classic.,en_dev
The book was as classic as a bride wearing purple,The book wasn't a classic.,The book was very classic.,en_dev
The toy was as new as A quarter from this year.,The toy was recent,The toy was dated.,en_dev
The toy was as new as A quarter from the year you were born.,The toy was dated.,The toy was recent,en_dev
The woman was as tall as a tree,The woman was tall,The woman was short,en_dev
The woman was as tall as a footstool,The woman was short,The woman was tall,en_dev
Tom had the joy of a robot.,Tom is not very joyful.,Tom is very joyful.,en_dev
Tom had the joy of a dog.,Tom is very joyful.,Tom is not very joyful.,en_dev
The movie has a depth of A canyon.,The movie is deeply philosophical.,The movie has little substance.,en_dev
The movie has a depth of A pothole.,The movie has little substance.,The movie is deeply philosophical.,en_dev
The movie has a depth of A valley.,The movie is expansive in it's meaning.,The movie lacks depth.,en_dev
The movie has a depth of A flatland.,The movie lacks depth.,The movie is expansive in it's meaning.,en_dev
She was as delicate as An elephant,She was a lumbering clod,She was fragile,en_dev
She was as delicate as A snowflake,She was fragile,She was a lumbering clod,en_dev
Her dinner tasted like An old shoe,The food was disgusting,The food was gloriously delicious,en_dev
Her dinner tasted like Manna from heaven,The food was gloriously delicious,The food was disgusting,en_dev
The boy's lemonade stand was as successful as a Fortune 500 company,The boy's lemonade stand was a wild success.,The boy's lemonade stand did terribly.,en_dev
The boy's lemonade stand was as successful as the 1962 New York Mets,The boy's lemonade stand did terribly.,The boy's lemonade stand was a wild success.,en_dev
He is as famous as a movie star,people know him,no one knows him,en_dev
He is as famous as a roach in a dumpster,no one knows him,people know him,en_dev
She is as fancy as a prom queen,she is elegant,she is dirty,en_dev
She is as fancy as dish water,she is dirty,she is elegant,en_dev
Her face glowed like the sun,Her face was luminous,her face was dull,en_dev
