anchor,positive,negative,lang
Baginya harga mobil seharga nyawa.,Baginya harga mobil sangat mahal.,Baginya harga mobil sangat murah.,id
Cleopatra had the beauty of the Ugly Duckling after being hit twice with the ugly stick,Cleopatra was very ugly,Cleopatra was quite beautiful,en_dev
Ngaharep balesan manehna ibarat ngajarkeun lauk naek tangkal,Ngaharep balesan manehna mustahil,Ngaharep balesan manehna teu kudu usaha.,su
The politician has the personality of a kindergarten classroom.,The politician is immature.,The politician is senile.,en_dev
The woman was as glamourous as a movie star,she was fancy,she was unkempt,en_dev
Ponten rapor kuring umpama biru langit.,Ponten rapor kuring alus.,Ponten rapor kuring goreng,su
Kakolot undak unduk na siga malin kundang,Ka kolot undak unduk na siga durhaka,Ka kolot undak unduk na siga ngabaktos.,su
Mwalimu alipanda mbegu ya hekima,Mwakimu alitufundisha hekima,Mwalimu hakutufundisha hekima,sw
Yule mbunge ni bendera hufuata upepo,Yule mbunge hana msimamo,Yule mbunge ana msimamo,sw
ಈ ಆಟವು ಈಜಿನಂತೆ ಸಾಹಸಮಯವಾಗಿದೆ,ಈ ಆಟವು ಸಾಹಸಮಯವಾಗಿಲ್ಲ,ಈ ಆಟವು ಸಾಹಸಮಯವಾಗಿದೆ,kn
Khalid hutoa tabasamu ya kibogoyo anapomuona Michelle,Khalid hufichua meno yake meusi anapomuona Michelle,Khalid hawezi kuficha tabasamu anapomuona Michelle,sw
ಕಾಫಿ ಬಿಸಿಯಾಗಿ ಇತ್ತು,ಕಾಫಿ ಬಿಸಿಯಾಗಿತ್ತು,ಕಾಫಿ ತಣ್ಣಗೆ ಇತ್ತು,kn
Dheweke yen kerjo kaya jaran nalika mlayu,Dheweke yen kerjo cepet,Dheweke yen kerjo alon,jv
Hidungnya seperti buah ceri.,Hidungnya pesek.,Hidungnya mancung.,id
Ajá náà kò bí akọ àti abo,Ajá náà jẹ ọmọ tó bí,Ajá náà bí ọkùnrin àti obìnirin,yo
Watake masku kaya kulit bayi,Watake masku alus,Watake masku kasar,jv
Mchezaji alikuwa kama dhahabu safi kwa mzunguko.,Mchezaji alikuwa hafai kwa mchezo.,Mchezaji alikuwa fiti kwa mchezo.,sw
Mwanafunzi alikuwa kama kupasuka kwa volkano.,Mwanafunzi alikuwa akipiga kelele.,Mwanafunzi alikuwa akinong'ona.,sw
Wong iku leh mlaku kaya numpak montor mabur,Wong iku leh mlaku cepet banget,Wong iku leh mlaku alon banget,jv
Nasihat ibu terkadang semanis jamu.,Nasihat ibu terkadang tidak enak didengar.,Nasihat ibu terkadang enak didengar.,id
ಚೆಸ್ ಆಡಲು ಜಾಸ್ತಿ ಬುದ್ಧಿವಂತಿಕೆ ಬೇಕು,ಚೆಸ್ ಆಡಲು ಜಾಸ್ತಿ ಬುದ್ಧಿವಂತಿಕೆ ಬೇಕು,ಚೆಸ್ ಆಡಲು ಕಡಿಮೆ ಬುದ್ಧಿವಂತಿಕೆ ಬೇಕು,kn
Harusi yao ilikua kama msiba,Harusi yao ilipooza,Harusi yao ilikua ya kifani,sw
Your hair looks like silken threads,Your hair is beautiful and lustrous,Your hair is a mess and unappealing,en_dev
ಆತನ ದಿರಿಸು ಅಧಿಕಾರಿಯಂತೆ ಶುಚಿಯಾಗಿತ್ತು,ಆತನ ದಿರಿಸು ಶುಚಿಯಾಗಿತ್ತು,ಆತನ ದಿರಿಸು ಶುಚಿಯಾಗಿಲ್ಲ,kn
Ninampenda Maria kama paka apendavyo maji,Simpendi Maria kamwe,Ninampenda Maria kwa moyo wangu wote,sw
He has the satisfaction of a master chef after making a 5 star meal,He is very satisfied,He has very little satisfaction,en_dev
Ìmọ̀ Bọ́lájí kò tí ì kún nípa iṣẹ́ igbá fínfín,Ìmọ̀ Bọ́lájí kò ì tó nípa igbá fínfín,Bọ́lájí mọ iṣẹ́ igbá fínfín dáadáa,yo
Nuduh batur ku awon téh kawas nyebarkeun binih kembang sapanjang jalan.,Nuduh batur ku awon nebarkeun kahadean ka diri sorangan.,Nuduh batur ku awon ngajelékkeun diri sorangan,su
"Jika diamati, wajahnya seperti bintang di langit malam.","Jika diamati, wajahnya cantik dan indah.","Jika diamati, wajahnya buruk, dari segi teksturnya.",id
She has the conscience of Hitler on a bad day,She has a bad conscience,She has a good conscience,en_dev
Awakna siga tangkal gedang.,Awakna letoy.,Awakna kiat,su
"Membeli mobil, namun tidak memakainya bak menyapu pasir di pantai.","Membeli mobil, namun tidak memakainya sia-sia.","Membeli mobil, namun tidak memakainya berguna.",id
ಶಕ್ತಿಯು ವಿದ್ಯುತ್ ಶಕ್ತಿಯಂತೆ ಅನಿಯಮಿತವಾಗಿದೆ,ಶಕ್ತಿಯು ಅನಿಯಮಿತವಾಗಿಲ್ಲ,ಶಕ್ತಿಯು ಅನಿಯಮಿತವಾಗಿದೆ,kn
Igi gogoro má gún mi ojú,Ohun rere kó ṣẹlẹ̀ síni,Ohun burúkú má ṣẹlẹ̀ síni,yo
ಇವನು ಅಜ್ಜಿಯಂತೆ ಮುದ್ದಾಗಿದ್ದಾನೆ,ಇವನು ಮುದ್ದಾಗಿದ್ದಾನೆ ಇವನು ಮುದ್ದಾಗಿಲ್ಲ,ಇವನು ಮುದ್ದಾಗಿಲ್ಲ,kn
The actor got as much attention as a grain of sand at a beach,The actor got no attention at all.,The actor got tons of attention.,en_dev
Mung ngomong siga aya sambelna,Mung ngomong nyeurikeun hate,Mung ngomong hati-hati.,su
Cerita film ini sudah seperti satu ditambah satu sama dengan dua.,Cerita film ini sederhana.,Cerita film ini kompleks.,id
ಅವನು ರೈತನ ಹಾಗೆ ಶ್ರೀಮಂತ.,ಅವನು ಶ್ರೀಮಂತನಲ್ಲ,ಅವನು ಶ್ರೀಮಂತ,kn
Mi ò fojú sílẹ̀ fún un,Mo ò fààyè àti bá mi sọ̀rọ̀ sílẹ̀,Mi ò fààyè àti yànmí lódì sílẹ̀,yo
Investasi Bitcoin sekarang ini ibarat deposito berbunga tinggi.,Investasi Bitcoin menguntungkan.,Investasi Bitcoin merugikan.,id
ಅವಳು ಹಾಕಿದ್ದ ಒಡವೆಯು ವಜ್ರದಂತೆ ಗಟ್ಟಿಯಾಗಿತ್ತು,ಅವಳ ಒಡವೆ ತುಂಬಾ ಟಳ್ಳಾಗಿತ್ತು,ಅವಳ ಒಡವೆ ತುಂಬಾ ಗಟ್ಟಿ ಇತ್ತು,kn
Siku ya leo ni kama Kalahari.,Jua linachoma sana leo.,Mvua inanyesha sana leo.,sw
उसने सूरदास सी कैच पकड़ी। ,उसने कैच नहीं पकड़ी। ,उसने बहुत बढ़िया कैच पकड़ी। ,hi
Sangkan hirup teh loba kapait,Sangkan hirup teh loba cobaan,Sangkan hirup teh loba kabahagiaan kudu bisa ngarumasakeun.,su
Harapan orang tuaku setinggi lutut kurcaci Putri Salju.,Harapan orang tuaku rendah.,Harapan orang tuaku tinggi.,id
Jarak rumah ke sekolahnya sejauh rumah tetangga.,Sekolahnya dekat.,Sekolahnya jauh.,id
Rasa sakit ini bagai digigit anak semut.,Rasa sakit ini tidak sakit sama sekali.,Rasa sakit ini sakit sekali.,id
Ẹṣin inú ìwé ni Rọ́pò,Rọ́pọ̀ lè bá obìnrin lòpọ̀,Rọ́pò kò lè bóbìnrin lòpọ̀,yo
si Udin jadi jalma teh meni berehan.,si Udin jadi jalma teh meni reseup babagi.,"si Udin jadi jalma teh meni koret, pedit",su
Wengi ieu langit na siga cai kopi.,Wengi ieu langit na ceudeum.,Wengi ieu langit na mencrang,su
ಸಿನಿಮಾದಲ್ಲಿ ಕೆಟ್ಟ ಸಂದೇಶವಿತ್ತು,ಸಿನಿಮಾದಲ್ಲಿ ಒಳ್ಳೆಯ ಸಂದೇಶವಿಲ್ಲ,ಸಿನಿಮಾದಲ್ಲಿ ಒಳ್ಳೆಯ ಸಂದೇಶವಿತ್ತು,kn
उसे हर कोई घंटी की तरह समझता है। ,उसे हर कोई तंग करता है। ,सब उस से डरते हैं। ,hi
Mama wa kambo amekuwa njiwa.,Mama wa kambo ni mzuri.,Mama wa kambo ni mbaya.,sw
Omí bọ́ lójú ìjàpà nígbà tí Ọba pàṣẹ pé kí wọ́n lọ pá.,Ìjàpá banújẹ́ / Ìjàpá sunkún,Ìjàpá dunnú / Ìjàpá rẹ́rìn-ín,yo
That woman has the skin of a shedding snake.,"That woman has dead, peeling skin.",That woman has smooth skin.,en_dev
जीवन चूरन की तरह होता है।,जीवन में सुख और दुःख दोनों होते हैं। ,जीवन में सिर्फ सुख होते हैं। ,hi
Muangalie anavyong'aa nyusoni kama chokoraa,Muangalie alivyochafuka nyusoni leo,Muangalie anavyong'aa nyusoni na kupendeza,sw
ಆ ಪ್ರದೇಶ ದೇವಸ್ಥಾನದಷ್ಟು ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ.,ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿಲ್ಲ,ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ,kn
ಆ ಪ್ರದೇಶ ಮಾರ್ಕೆಟ್ ನಂತೆ ಹೆಚ್ಚು ಜನ ರಿಂದ ಕೂಡಿದೆ,ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ಜನರಿಂದ ಕೂಡಿದೆ,ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ಜನರಿಂದ ಕೂಡಿಲ್ಲ,kn
तुम्हारे घर की कीमत लाखों की है। ,तुहारा घर बहुत महंगा है। ,तुहारा घर की कुछ भी कीमत नहीं है। ,hi
Dia menangkat galon seperti sedang sakit tipes.,Dia menangkat galon dengan susah payah.,Dia menangkat galon dengan mudah.,id
वह चोरों की तरह अपने घर घुसा। ,वह घर में घुसते हुए दर रहा था। ,वह घर में शान से घुसा।  ,hi
ಅದರ ಬಣ್ಣ ನೀರಿನಂತೆ ಬಿಳಿಯಾಗಿದೆ,ಅದರ ಬಣ್ಣ ಬಿಳಿಯಾಗಿಲ್ಲ,ಅದರ ಬಣ್ಣ ಬಿಳಿಯಾಗಿದೆ,kn
Adik berlaku bak akan mengurus pinjaman di bank.,Adik sangat mandiri.,Adik sangat manja.,id
The face cream has the texture of chocolate mousse.,The face cream is light.,The face cream is too rough.,en_dev
The final score of the game ended up being further than two goal posts on a football field.,The teams did not score similar amounts till the end of the game.,The teams scored similar amounts of points till the end of the game.,en_dev
Cai sumur ayeuna mah kos cai aqua.,Cai sumur ayeuna herang.,Cai sumur ayeuna kiruh,su
Kamarnya seperti istana.,Kamarnya rapih atau indah.,Kamarnya berantakan.,id
Anton memperlakukan ibunya seperti kisah dongeng Malin Kundang.,Anton memperlakukan ibunya dengan buruk.,Anton memperlakukan ibunya dengan baik.,id
The job pays as good as a politician's pay.,The job pays excellent.,The job pays very little,en_dev
चूहा गोंद की तरह चिपका हुआ है।,चूहे को भगाना बहुत मुश्किल है। ,चूहे को भगाना बहुत आसान है। ,hi
मूर्तिकार के हाथ डूबते हुए आदमी की तरह फड़फड़ा रहे थे।,मूर्तिकार बहुत घबराया हुआ था। ,मूर्तिकार एक माहिर की तरह अपना काम कर रहा था। ,hi
मोहित ने दुश्मन को दाल के चने चबवाये। ,मोहित ने दुश्मन को ज्यादा मुश्किल में दाल दिया। ,मोहित ने दुश्मन को बहुत मुश्किल में दाल दिया। ,hi
वह मोरनी की चाल से आगे बढ़ी। ,वह सेहमी से आगे बढ़ी।,वह आत्मविश्वास से आगे बढ़ी।,hi
Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit bawang,Kain batik sing dituku menyang pasar klewer tipis banget,Kain batik sing dituku menyang pasar klewer kandel banget,jv
Ujana ni kama maji,Ujana hauna changamoto nyingi,Ujana una changamoto nyingi,sw
He shined like the dirt,He was dull and didn't shine at all.,He shined brightly.,en_dev
मई की धूप में चार कि मी की पैदल यात्रा करने के कारण मैं तो थककर चूर हो गया हूँ।,इतना चल के मैं बहुत थक हो गया हूँ।,इतना चल के मैं बहुत जोश में आ गया हूँ।,hi
बच्चा एक पुजारी की तरह धार्मिक था। ,बच्चा बहुत धार्मिक था। ,बच्चा बिलकुल भी धार्मिक नहीं था। ,hi
Hii kesi tumeivulia shati,Hii kesi tumeishindwa,Hii kesi tutaishughulikia kisawasawa,sw
Msanii ni kioo cha chumbani kwake,Afanyayo msanii hayatokani na jamii inayomzunguka,Afanyayo msanii hutokana na jamii inayomzunguka,sw
Hidupku sudah seperti kembang gula anak-anak.,Hidupku manis dan berwarna.,Hidupku monoton dan hitam putih.,id
The odds of winning the lottery are as good as lighting a match and expecting fire.,The odds of winning the lottery are fantastic,The odds of sinning the lottery  are extremely low,en_dev
The future had the brightness of a mud puddle,The future is dull,The future is bright,en_dev
Mahali hapa ni kama makaburi.,Mahali hapa ni kimya sana.,Mahali hapa pana kelele mingi.,sw
शिवाजी के खंजर लोहे के थे। ,शिवाजी के खंजर बहुत मजबूत थे। ,शिवाजी के खंजर बहुत मजबूत नहीं थे। ,hi
कार नल के पानी की तरह साफ है।,कार बहुत ज्यादा अच्छे से साफ़ है। ,कार बहुत अच्छे से साफ़ नहीं है।,hi
Dereva alikuwa kama hakimu.,Dereva alikuwa kiasi.,Dereva alikuwa mlevi.,sw
Suaranya saat bernyanyi seperti burung kenari.,Suaranya saat bernyanyi merdu.,Suaranya saat bernyanyi sumbang.,id
ಈ ತಿನಿಸು ಕೇಕ್ನಂತೆ ಗಟ್ಟಿಯಾಗಿತ್ತು,ಈ ತಿನ್ನಿಸು ಗಟ್ಟಿ ಇಲ್ಲ,ಈ ತಿನಿಸು ಗಟ್ಟಿಯಾಗಿದೆ,kn
Angelina alitangalia kwa macho ya chura,Angelina alituangalia kwa macho ya  kutuchukia,Angelina alituangalia kwa macho ya kuvutia,sw
This mechanicalturk task is a pollution storm,This mechanicalturk task is vague,This mechanicalturk task is well-explained,en_dev
Busu lake lilikuwa kama la Yuda Iskarioti kwa Yesu.,Busu lake lilikuwa la usaliti.,Busu lake lilikuwa la mapenzi ya kweli.,sw
Prajurit nang film iku ngelakoni perang wis kaya kura,Prajurit nang film iku ngelakoni perang wedi banget,Prajurit nang film iku ngelakoni perang wani banget,jv
She was hiding like Anne Frank,She was hiding well,She was hiding poorly,en_dev
ಆಕೆಯ ಉಡುಪು ಬಿಳಿ ಹಲಗೆಯಂತೆ ಆಕರ್ಷಕ ಬಣ್ಣಗಳಿಂದ ಕೂಡಿತ್ತು,ಆಕೆಯ ಉಡುಪು ಆಕರ್ಷಕ ಬಣ್ಣಗಳನ್ನು ಹೊಂದಿರಲಿಲ್ಲ,ಆಕೆಯ ಉಡುಪು ಆಕರ್ಷಕ ಬಣ್ಣಗಳಿಂದ ಕೂಡಿತ್ತು,kn
Mencari orang jujur di Indonesia itu bagai mencari pasir di pantai.,"Di Indonesia, orang jujur mudah ditemui.","Di Indonesia, orang jujur jarang ditemui.",id
तुम उस पेड़ की छायादार पत्तियों के लिए मशहूर है।,तुम अपनी अच्छाई के लिए जाने जाते हो। ,तुम अपनी बुराई के लिए जाने जाते हो। ,hi
अध्यापक बनने के बाद से तो तुम ईद के चाँद ही हो गए हो। ,जब से तुम अध्यापक बने हो तब से कभी कभी ही मिलते हो। ,जब से तुम अध्यापक बने हो तब से रोज ही मिलते हो। ,hi
ಆ ಹುಡುಗ ಜಿಂಕೆಯಂತೆ ಉದ್ದವಿದ್ದಾನೆ,ಆ ಹುಡುಗ ಉದ್ದವಿಲ್ಲ,ಆ ಹುಡುಗ ಉದ್ದವಿದ್ದಾನೆ,kn
