Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
दोस्ती एक फलदार वृक्ष है।,दोस्ती मददगार होती है।,दोस्ती नुकसान दायक होती है।,0,"{
  ""Explanation"": ""The metaphor compares friendship to a fruitful tree, indicating that it is beneficial and rewarding."",
  ""Answer"": 0
}",0,,1
दोस्ती एक जहरीला वृक्ष है।,दोस्ती मददगार होती है।,दोस्ती नुकसान दायक होती है।,1,"{
  ""answer"": 1
}  

Explanation: In this metaphor, the comparison is made between friendship and a poisonous tree. This implies that friendship can be harmful or toxic, rather than helpful. Therefore, the closest meaning is ""दोस्ती नुकसान दायक होती है।"" (Friendship is harmful.)",1,,1
कालिदास भारत के शेख्चिली हैं।,कालिदास मुर्ख हैं।,कालिदास बुद्धिमान हैं।,0,"{
  ""answer"": 1
} 

The metaphor compares Kalidas to a peacock, known for its wisdom and intelligence. Option 1) ""कालिदास बुद्धिमान हैं।"" reflects this comparison accurately.",1,,0
कालिदास भारत के शेक्सपियर हैं।,कालिदास मुर्ख हैं।,कालिदास बुद्धिमान हैं।,1,"{
  ""answer"": 1
} 

Explanation: The metaphor comparing Kalidas to Shakespeare suggests that Kalidas is intelligent, talented, and renowned for his literary works, similar to how Shakespeare is regarded. Therefore, the option ""कालिदास बुद्धिमान हैं।"" is the closest in meaning to the metaphor.",1,,1
यह खबर उनके दिल में फूलों की खुशबु लाई।,ख़ुशी की खबर लाई।,दुःख की खबर लाई।,0,"{
  ""answer"": 0,
  ""explanation"": ""The metaphor mentions the fragrance of flowers, which is often associated with happiness. Therefore, the meaning closest to the metaphor is 'खुशी की खबर लाई।'""
}",0,,1
यह खबर उनके दिल में तीर की तरह चुभ गई।,ख़ुशी की खबरलाई।,दुःख की खबर लाई।,1,"{
  ""answer"": 1
}

Explanation: The metaphor used here is ""तीर की तरह चुभ गई"" which signifies something piercing deeply into the heart, implying a piece of sad news. So, the closest meaning would be ""दुःख की खबर लाई"" (Option 1).",1,,1
उदयसिंह परिवार के कलंक हैं।,उदयसिंह परिवार को समाज में नीचा दिखाते हैं।,उदयसिंह परिवार को समाज में ऊँचे दर्जे पर लेजाते हैं।,0,"{
  ""Explanation"": ""The metaphor implies that Uday Singh family is considered a disgrace or a stain, which means they are looked down upon in society."",
  ""Answer"": 0
}",0,,1
उदयसिंह परिवार के सितारे हैं।,उदयसिंह परिवार को समाज में नीचा दिखाते हैं।,उदयसिंह परिवार को समाज में ऊँचे दर्जे पर लेजाते हैं।,1,"{
  ""explanation"": ""The metaphor compares the Udai Singh family to stars, which usually represent something positive and high-ranking. Therefore, the correct meaning is that the Udai Singh family is placed at a high level in society."",
  ""answer"": 1
}",1,,1
जीवन एक सत्य है।,जीवन हकीकत है।,जीवन एक मिथ्या है।,0,"{
  ""answer"": 0,
  ""explanation"": ""The metaphor comparing life to truth implies that life is a reality, not a myth. It suggests that life is something that is genuine and real, similar to how truth is perceived.""
}",0,,1
जीवन एक सपना है।,जीवन हकीकत है।,जीवन एक मिथ्या है।,1,"{
  ""Explanation"": ""Here, the metaphor comparing life to a dream signifies the fleeting and transient nature of life, similar to how a dream is temporary and intangible."",
  ""Answer"": 0
}",0,,0
