Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
Nyalinya seperti anak kecil yang tersesat.,Dia penakut.,Dia pemberani.,0,"{
  ""answer"": 1
}",1,,0
Nyalinya seperti prajurit terdepan di medan perang.,Dia penakut.,Dia pemberani.,1,"{
  ""answer"": 1
} 

Explanation: The metaphor is comparing someone's bravery to a frontline warrior in a battlefield. This signifies that the person is courageous and not a coward, making option 1) Dia pemberani the most fitting meaning.",1,,1
Berbicara dengan Kinan seperti bicara dengan balita.,Pengetahuannya kurang.,Pengetahuannya luas.,0,"{
  ""Explanation"": ""The metaphor is comparing talking to Kinan to talking to a child, suggesting that Kinan's level of knowledge is lacking or limited."",
  ""Answer"": 0
}",0,,1
Berbicara dengan Kinan seperti mengikuti kuliah kuliah dari dosen ternama.,Pengetahuannya kurang.,Pengetahuannya luas.,1,"{
    ""answer"": 1
}

In this metaphor, ""Berbicara dengan Kinan seperti mengikuti kuliah dari dosen ternama"" implies that Kinan has a wide knowledge base. Just like following a lecture from a renowned professor implies gaining in-depth knowledge and insights, speaking with Kinan suggests a conversation with someone who has a vast understanding of the topic. Therefore, the closest meaning to the metaphor is ""Pengetahuannya luas"" or ""His knowledge is extensive"" (Option 1).",1,,1
Anak itu tampil bak putri malu yang layu.,Anak itu tampil dengan malu-malu.,Anak itu tampil dengan percaya diri.,0,"{
  ""answer"": 0,
  ""explanation"": ""The metaphor compares the child to a withered, shy princess, indicating that the child is behaving timidly and with hesitance. Option 0) Anak itu tampil dengan malu-malu.""
}",0,,1
Anak itu tampil bak bunga mawar di taman.,Anak itu tampil dengan malu-malu.,Anak itu tampil dengan percaya diri.,1,"{
  ""Explanation"": ""Mawar sering diasosiasikan dengan kecantikan dan keindahan, sehingga anak tersebut kemungkinan tampil dengan percaya diri seperti bunga mawar yang menarik perhatian."",
  ""Answer"": 1
}",1,,1
Suara Sari dapat mengalahkan suara ombak.,Suara Sari sangat kencang.,Suara Sari sangat pelan.,0,"{
  ""answer"": 1
} 

In this metaphor, ""Suara Sari dapat mengalahkan suara ombak"" means that Suara Sari is very soft and soothing, like the sound of gentle waves. This is similar to the meaning of option 1) Suara Sari sangat pelan.",1,,0
Suara Sari lenyap terbawa angin.,Suara Sari sangat kencang.,Suara Sari sangat pelan.,1,"{
  ""answer"": 1
} 

In this metaphor, ""Suara Sari lenyap terbawa angin"" means that Suara Sari is very soft or faint, as it disappears with the wind. Therefore, the closest meaning is Option 1) Suara Sari sangat pelan.",1,,1
Cara makannya bagai tamu restoran bintang 5.,Cara makannya rapi.,Cara makannya berantakan.,0,"{
  ""answer"": 0
}

Explanation: The metaphor comparing the way of eating to a 5-star restaurant guest implies that the way of eating is neat and orderly (rapi), similar to how a guest in a high-class establishment would behave. Hence, the closest meaning is option 0) Cara makannya rapi.",0,,1
Cara makannya bagai anak kecil di toko es krim.,Cara makannya rapi.,Cara makannya berantakan.,1,"{
  ""answer"": 1
}

The metaphor ""Cara makannya bagai anak kecil di toko es krim"" compares the way someone eats to a child in an ice cream shop, implying that it is messy and chaotic. Therefore, the closest meaning is option 1) Cara makannya berantakan.",1,,1
Pekerjaan ayah semudah membalikkan telapak tangan.,Pekerjaan ayah sangat mudah.,Pekerjaan ayah sangat sulit.,0,"{
  ""Answer"": 0
}

Explanation: The metaphor ""Pekerjaan ayah semudah membalikkan telapak tangan"" translates to ""Father's job is as easy as turning over the palm of the hand."" This implies that the father's job is very easy (Option 0).",0,,1
Pekerjaan ayah semudah memasukkan benang ke dalam jarum.,Pekerjaan ayah sangat mudah.,Pekerjaan ayah sangat sulit.,1,"{
  ""Explanation"": ""The metaphor compares the ease of the father's work to threading a needle, implying that his job is very easy."",
  ""Answer"": 0
}",0,,0
Siswa SD itu membawa tas layaknya orang yang mau kabur dari rumah.,Tasnya besar.,Tasnya kecil.,0,"{
  ""answer"": 0
}

Explanation: The metaphor compares the student carrying a bag to someone who is trying to run away from home. In this case, the implication is that the bag is large, as someone running away might need to pack many items. Thus, the closest meaning is option 0) Tasnya besar.",0,,1
Siswa SD itu membawa tas layaknya orang yang akan pergi ke mal.,Tasnya besar.,Tasnya kecil.,1,"{
  ""answer"": 0
} 

The metaphor compares the elementary school student's bag to someone going to the mall, implying that the bag is big and filled with items just like how someone would bring a big bag when going to the mall for shopping. Hence, the correct option is 0) Tasnya besar.",0,,0
Dia melahap makanan seolah belum makan tiga hari.,Dia sangat lapar.,Dia sangat kenyang.,0,"{
  ""answer"": 0
}",0,,1
Dia melahap makanan seolah habis menghadiri tiga kondangan.,Dia sangat lapar.,Dia sangat kenyang.,1,"{
  ""answer"": 0
} 

The metaphor describes someone eating as if they had been to three weddings, which implies that they are very hungry and eating a lot. Therefore, the closest meaning is option 0) Dia sangat lapar.",0,,0
Ia berjalan layaknya siput.,Dia berjalan dengan lambat.,Dia berjalan dengan cepat.,0,"{
  ""Explanation"": ""Snails are known to move slowly, so the metaphor implies that the person is walking slowly."",
  ""Answer"": 0
}",0,,1
Ia berjalan layaknya macan.,Dia berjalan dengan lambat.,Dia berjalan dengan cepat.,1,"{
	""Answer"": 1
}

Explanation: The phrase ""Ia berjalan layaknya macan"" translates to ""He walks like a tiger."" Tigers are known for their speed and agility, so the closest meaning to this metaphor would be ""Dia berjalan dengan cepat"" which means ""He walks fast."" Therefore, option 1 is the correct answer.",1,,1
Kehadirannya bagaikan petir di siang bolong.,Kehadirannya adalah musibah.,Kehadirannya adalah anugerah.,0,"{
  ""answer"": 0
}

Explanation: The metaphor compares the person's presence to lightning in broad daylight, which implies that their presence brings suddenness, unexpectedness, and possibly destruction, like a calamity or disaster. Therefore, the closest meaning would be ""Kehadirannya adalah musibah"" (Their presence is a calamity).",0,,1
Kehadirannya bagaikan bintang di langit malam.,Kehadirannya adalah musibah.,Kehadirannya adalah anugerah.,1,"{
  ""answer"": 1
} 

Kehadirannya bagaikan bintang di langit malam represents a positive meaning, comparing someone's presence to a star in the night sky, symbolizing beauty, guidance, and brightness. Therefore, the closest meaning to the metaphor is option 1) Kehadirannya adalah anugerah (His presence is a blessing).",1,,1
Dia menjalani hidup bak burung di angkasa.,Hidupnya bebas.,Hidupnya terkekang.,0,"{
  ""answer"": 0
} 

In this metaphor, ""Dia menjalani hidup bak burung di angkasa"" is comparing someone's life to that of a bird in the sky. Birds in the sky are free to fly wherever they want, suggesting that the person's life is free and unrestricted. Therefore, the option ""Hidupnya bebas"" (His life is free) is the closest meaning to the metaphor.",0,,1
Dia menjalani hidup bak singa di kebun binatang.,Hidupnya bebas.,Hidupnya terkekang.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""menjalani hidup bak singa di kebun binatang"" suggests that the person's life is like a lion living in a zoo. Lions in the zoo are confined and their freedom is restricted, therefore the closest meaning would be ""Hidupnya terkekang"" (Option 1).",0,,0
Situasi kelas A seramai KRL di jam kerja.,Siswa-siswi kelas A berpartisipasi dengan aktif.,Siswa-siswi kelas A berpartisipasi dengan pasif.,0,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the situation in class A to the busy Jakarta commuter train (KRL) during rush hour. Just like how the KRL is crowded with active commuters during rush hour, class A is also described as crowded with active students participating actively. Therefore, the closest meaning to the metaphor is option 0) Siswa-siswi kelas A berpartisipasi dengan aktif.",0,,1
Situasi kelas A seramai kuburan di malam hari.,Siswa-siswi kelas A berpartisipasi dengan aktif.,Siswa-siswi kelas A berpartisipasi dengan pasif.,1,"{
  ""answer"": 1
}

Explanation: The metaphor ""Situasi kelas A seramai kuburan di malam hari"" implies that the situation in class A is as quiet as a graveyard at night. This suggests that the students in class A are not actively participating or engaged, similar to how a graveyard is silent and calm. Therefore, the closest meaning to the metaphor is option 1) Siswa-siswi kelas A berpartisipasi dengan pasif.",1,,1
Adik menginginkan rambut seperti dora.,Adik ingin memiliki rambut pendek.,Adik ingin memiliki rambut panjang.,0,"{
  ""answer"": 1
}

Explanation: Dora merupakan karakter fiksi dengan rambut panjang yang terkenal. Jadi, jika adik menginginkan rambut seperti dora, bisa diartikan bahwa adik ingin memiliki rambut panjang.",1,,0
Adik menginginkan rambut seperti rapunzel.,Adik ingin memiliki rambut pendek.,Adik ingin memiliki rambut panjang.,1,"{
  ""answer"": 1
}

Explanation: The metaphor ""Adik menginginkan rambut seperti rapunzel."" compares the desire for long hair similar to the character Rapunzel in the fairy tale. Therefore, the closest meaning to the metaphor is Option 1) Adik ingin memiliki rambut panjang.",1,,1
Curhatannya sepanjang skripsi mahasiswa kedokteran.,Ceritanya panjang.,Ceritanya pendek.,0,"{
  ""Explanation"": ""The metaphor compares the length of a student's complaints to the length of a medical student's thesis, which is typically long."",
  ""Answer"": 0
}",0,,1
Curhatannya sepanjang iklan badut di jalanan.,Ceritanya panjang.,Ceritanya pendek.,1,"{
  ""Explanation"": ""The metaphor compares the length of someone's complaints with the length of a street clown's advertising, implying that the complaints are long-winded."",
  ""Answer"": 0
}",0,,0
Tulisan tangannya bak tulisan dokter.,Tulisannya berantakan.,Tulisannya rapi.,0,"{
  ""answer"": 1
} 

In this metaphor, ""Tulisan tangannya bak tulisan dokter"" means the handwriting is neat and clear like a doctor's handwriting, which is notoriously known for being difficult to read. Therefore, the closest meaning would be option 1) Tulisannya rapi (neat).",1,,0
Tulisan tangannya bak ketikan komputer canggih.,Tulisannya berantakan.,Tulisannya rapi.,1,"{
  ""answer"": 1
}

In this metaphor, ""Tulisan tangannya bak ketikan komputer canggih"" compares the handwriting to that of a sophisticated computer. This implies that the handwriting is neat and orderly like that of a computer, so the closest meaning would be option 1) Tulisannya rapi (neat handwriting).",1,,1
Memintanya membereskan kamar sama seperti menyuruh kucing terbang.,Perintah itu mustahil dilakukan.,Perintah itu selalu dilakukan.,0,"{
  ""answer"": 0
} 

In this metaphor, asking someone to clean a room is compared to instructing a cat to fly. Cats cannot fly, just like it may be impossible or extremely difficult to ask someone to clean their room. Option 0) Perintah itu mustahil dilakukan (The command is impossible to carry out) is the most appropriate meaning.",0,,1
Memintanya membereskan kamar sama seperti berbincang dengan google assistant.,Perintah itu mustahil dilakukan.,Perintah itu selalu dilakukan.,1,"{
  ""answer"": 0
}",0,,0
Dia menyelesaikan pekerjaannya secepat memasak mi instan.,Dia bekerja dengan cekatan.,Dia bekerja dengan lambat.,0,"{
  ""Explanation"": ""The metaphor is comparing how quickly the person completed their work to how fast instant noodles can be cooked. Instant noodles are known for being quick to cook, so the closest meaning to the metaphor is that the person works quickly and efficiently."",
  ""Answer"": 0
}",0,,1
Dia menyelesaikan pekerjaannya secepat mengurus paspor yang hilang.,Dia bekerja dengan cekatan.,Dia bekerja dengan lambat.,1,"{
  ""answer"": 0
}

The metaphor in the startphrase compares the speed of completing work to the quickness of handling a lost passport, which typically requires efficiency and quick action. Therefore, the closest meaning is option 0) Dia bekerja dengan cekatan (He works quickly and efficiently).",0,,0
Kelas bersama Pak Faisal seperti sedang berada di kandang singa.,Suasana kelas sangat menegangkan.,Suasana kelas sangat bersahabat.,0,"{
  ""answer"": 0
}

Explanation: The metaphor ""kelas bersama Pak Faisal seperti sedang berada di kandang singa"" implies that the atmosphere in the classroom with Pak Faisal is very tense, like being in a lion's den. Lions are known to be fierce and intimidating, so the correct meaning is ""Suasana kelas sangat menegangkan"" (The classroom atmosphere is very tense).",0,,1
Kelas bersama Pak Faisal seperti sedang bermain dengan anak tetangga.,Suasana kelas sangat menegangkan.,Suasana kelas sangat bersahabat.,1,"{
  ""Explanation"": ""The metaphor compares the class with playing with a friendly neighbor's child, implying a warm and friendly atmosphere."",
  ""Answer"": 1
}",1,,1
Orang asing yang kau temui sewaktu-waktu bisa menjadi rumah untuk pulang.,Orang asing bisa menjadi teman.,Orang asing bisa menjadi musuh.,0,"{
""answer"": 0
}

Explanation: The metaphor suggests that strangers you meet can sometimes become like a home to return to, indicating that they can become friends or someone close to you rather than enemies.",0,,1
