Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
Nyawang esemmu sing rupane kaya ngemut glali,Nyawang esemmu sing manis,Nyawang esemmu sing pahit,0,"{
  ""answer"": 0
}

Explanation: The metaphor compares the person's smile to the taste of sugar cane, implying that the person's smile is sweet. Therefore, the closest meaning would be ""Nyawang esemmu sing manis"" which translates to ""Seeing your smile is sweet"" in English.",0,,1
Nyawang esemmu sing rupane kaya nyruput ampas kopi,Nyawang esemmu sing manis,Nyawang esemmu sing pahit,1,"{
	""answer"": 0
}

Explanation: In this metaphor, comparing seeing your smile to drinking coffee grounds implies that seeing your smile is sweet like sugar rather than bitter like coffee grounds. Therefore, the closest meaning would be Option 0) Nyawang esemmu sing manis (seeing your smile is sweet).",0,,0
Suarane bocahe kuwi kaya sutra,Suarane bocah kuwi merdu,Suarane bocah kuwi elek,0,"{
  ""answer"": 0
} 

Explanation: The phrase ""Suarane bocahe kuwi kaya sutra"" is comparing the voice of a child to the elegance of silk. Therefore, the closer meaning to the metaphor would be option 0) Suarane bocah kuwi merdu, where ""merdu"" means melodious or sweet, similar to the elegance associated with silk.",0,,1
Suarane bocahe kuwi kaya bledek,Suarane bocah kuwi merdu,Suarane bocah kuwi elek,1,"{
  ""Explanation"": ""In this metaphor, 'suarane bocahe kuwi kaya bledek' refers to the sound being as loud as a thunderstorm, emphasizing the volume and intensity."",
  ""Answer"": 1
}",1,,1
Lakmu mlaku jan kaya diuber maling,Lakmu mlaku cepet,Lakmu mlaku suwi,0,"{
  ""question"": ""Lakmu mlaku jan kaya diuber maling"",
  ""option0"": ""Lakmu mlaku cepet"",
  ""option1"": ""Lakmu mlaku suwi"",
  ""explanation"": ""The metaphor implies that 'Lakmu' is walking cautiously and not in a hurry like someone being chased by a thief, therefore 'Lakmu mlaku suwi' (Lakmu walks slowly) is the closest meaning."",
  ""answer"": 1
}",1,,0
Lakmu mlaku jan kaya nyeret bata,Lakmu mlaku cepet,Lakmu mlaku suwi,1,"{
  ""Question"": ""Lakmu mlaku jan kaya nyeret bata"",
  ""Option"": 0,
  ""Explanation"": ""This metaphor suggests that the walk is slow and difficult, akin to dragging a heavy rock. Option 0) Lakmu mlaku cepet (fast) is the opposite of slow and matches the metaphor""
}",0,,0
Dekwingi aku nyang omahmu jan kaya pasar malem,Dek wingi aku nyang omahmu sing rame,Dek wingi aku nyang omahmu sing sepi,0,"{
  ""Explanation"": ""The metaphor is comparing staying at home yesterday to a night market, indicating it was busy and crowded."",
  ""Answer"": 0
}",0,,1
Dekwingi aku nyang omahmu jan kaya omah demit,Dek wingi aku nyang omahmu sing rame,Dek wingi aku nyang omahmu sing sepi,1,"{
  ""answer"": 1
} 

In this metaphor, the comparison is between the house in the past and the house now. The option ""Dek wingi aku nyang omahmu sing sepi"" (Yesterday, I saw your house which is empty) is closer in meaning because it conveys the emptiness or lack of life in the house, similar to how a haunted house occupied by spirits would be empty.",1,,1
Ngawiti dina senen iku seabot nyunggi batako,Ngawiti dina senen iku abot banget,Ngawiti dina senen iku enteng,0,"{
  ""answer"": 1
}

Explanation: The metaphor is comparing a smile to lifting a heavy load. Option 1, ""Ngawiti dina senen iku enteng"", is closer to this meaning as it implies that smiling is light and easy. Option 0, ""Ngawiti dina senen iku abot banget"", does not capture the essence of the metaphor.",1,,0
Ngawiti dina senen iku seabot nyunggi kapuk,Ngawiti dina senen iku abot banget,Ngawiti dina senen iku enteng,1,"{
  ""explanation"": ""The metaphor is comparing the smile to a boat easily gliding through the waves, indicating that the smile is light and effortless."",
  ""answer"": 1
}",1,,1
"Winginane aku ketemu Mbak Dewi, rupane kaya cak ning","Winginane aku ketemu Mbak Dewi, wajahe ayu","Winginane aku ketemu Mbak Dewi, wajahe elek",0,"{
  ""Explanation"": ""The metaphor is comparing meeting Mbak Dewi to meeting someone who has a kind face. 'Rupane kaya cak ning' means 'looks like a kind person.'"",
  ""Answer"": 0
}",0,,1
"Winginane aku ketemu Mbak Dewi, rupane kaya kuntilanak","Winginane aku ketemu Mbak Dewi, wajahe ayu","Winginane aku ketemu Mbak Dewi, wajahe elek",1,"{
  ""answer"": 1
}

Explanation: Kuntilanak is a folklore character known for its scary appearance, so the metaphor here is comparing the person's appearance to that of a kuntilanak, meaning they look scary or unpleasant. Option 1) ""Winginane aku ketemu Mbak Dewi, wajahe elek"" means ""When I met Mbak Dewi, her appearance was unpleasant,"" which is the closest meaning to the metaphor.",1,,1
"Poh, ambune klambine Bu Nita kaya kebon mlathi",Ambune klambine Bu Nita wangi,Ambune klambine Bu Nita mambu ora enak,0,"{
  ""question"": ""Poh, ambune klambine Bu Nita kaya kebon mlathi"",
  ""option_selected"": 0,
  ""explanation"": ""This metaphor suggests that Bu Nita's hair is fragrant like fresh flowers, comparing the scent of her hair to a garden. The option 'Ambune klambine Bu Nita wangi' translates to 'Bu Nita's hair is fragrant,' which matches the metaphor closely."",
  ""output"": {
    ""option_index"": 0
  }
}",0,,1
"Poh, ambune klambine Bu Nita kaya peceren",Ambune klambine Bu Nita wangi,Ambune klambine Bu Nita mambu ora enak,1,"{
  ""explanation"": ""The metaphor compares Bu Nita with something undesirable or unpleasant, which is closer to option 1) Ambune klambine Bu Nita mambu ora enak."",
  ""answer"": 1
}",1,,1
Suasanane pasar kliwon jan kaya wong tawuran,Suasanane pasar kliwon jan kaya rame,Suasanane pasar kliwon jan kaya sepi,0,"{
  ""answer"": 0
}

Explanation: The metaphor compares the atmosphere of the market on kliwon day to a crowded fight between people. The option ""Suasanane pasar kliwon jan kaya rame"" conveys the idea of a bustling and chaotic environment, similar to a fight between people, which closely reflects the metaphor.",0,,1
Suasanane pasar kliwon jan kaya kuburan,Suasanane pasar kliwon jan kaya rame,Suasanane pasar kliwon jan kaya sepi,1,"{
  ""answer"": 1
}

Explanation: The metaphor compares the atmosphere of the pasar kliwon to a graveyard, which implies that it is quiet and empty, similar to the option ""Suasanane pasar kliwon jan kaya sepi.""",1,,1
Lekmu numpak mobil kaya keong,Lekmu numpak mobil alon,Lekmu numpak mobil cepet,0,"{
  ""answer"": 0,
  ""explanation"": ""The metaphor comparing riding a car like a snail indicates slow and steady movement, so the closest meaning would be 'Lekmu numpak mobil alon' which means 'Lekmu riding a slow car'. Option 1 'Lekmu numpak mobil cepet' means 'Lekmu riding a fast car' which is the opposite of the metaphor.""
}",0,,1
Lekmu numpak mobil kaya alap-alap,Lekmu numpak mobil alon,Lekmu numpak mobil cepet,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Lekmu numpak mobil kaya alap-alap"" compares the action of riding a car to riding on a slow-paced vehicle like ""alon,"" rather than a speedy one like ""cepet"". This indicates that the intended meaning is Option 0) Lekmu numpak mobil alon, which represents a slow-paced ride.",0,,0
Lungguh ning kursi iku rasane kaya bantal,Lungguh ning kursi iku rasane empuk,Lungguh ning kursi iku rasane atos,0,"{
  ""answer"": 0
} 

The metaphor is comparing the feeling of sitting on the chair to a pillow, which implies that the chair is soft and comfortable. Therefore, the closest meaning would be option 0) Lungguh ning kursi iku rasane empuk (roughly translates to ""Sitting on that chair feels soft"").",0,,1
Lungguh ning kursi iku rasane kaya watu,Lungguh ning kursi iku rasane empuk,Lungguh ning kursi iku rasane atos,1,"{
  ""answer"": 0
} 

Explanation: In this metaphor, the feeling of the chair being like a person is compared to either being soft (empuk) or hard (atos). Since a person is usually associated with being soft and comfortable, the closest meaning to ""Lungguh ning kursi iku rasane kaya watu"" would be option 0) Lungguh ning kursi iku rasane empuk.",0,,0
Udane maeng isuk kaya disok,Udane maeng isuk deres,Udane maeng isuk gerimis,0,"{
  ""answer"": 0
} 

Explanation: In this metaphor, ""Udane maeng isuk kaya disok"" refers to rain falling heavily. The option ""Udane maeng isuk deres"" translates to ""rainfall heavily"", which is the closest meaning to the metaphor. Therefore, the answer is option 0.",0,,1
Udane maeng isuk kaya kletik,Udane maeng isuk deres,Udane maeng isuk gerimis,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Udane maeng isuk kaya kletik"" translates to ""The rain falls gently like pearls,"" where ""kletik"" refers to the sound of small objects falling lightly, which is similar to pearls dropping. Therefore, the closest option is ""Udane maeng isuk deres"" where ""deres"" means heavy rain, as it contrasts with the gentle and soft description of rain in the metaphor.",0,,0
Bar sepedahan tekan nggunung boyok rasane kaya dilindes trek,Bar sepedahan tekan nggunung boyok rasane keju kabeh,Bar sepedahan tekan nggunung boyok rasane penak,0,"{
  ""question"": ""Bar sepedahan tekan nggunung boyok rasane kaya dilindes trek"",
  ""option_chosen"": 1,
  ""explanation"": ""The metaphor uses the experience of riding a bike up a mountain to describe a challenging situation. 'Rasane kaya dilindes trek' implies a sense of struggling or difficulty in moving forward, similar to facing obstacles on a challenging trail."",
  ""output"": 1
}",1,,0
Bar sepedahan tekan nggunung boyok rasane kaya dibalsemi sedinaan,Bar sepedahan tekan nggunung boyok rasane keju kabeh,Bar sepedahan tekan nggunung boyok rasane penak,1,"{
  ""Question"": ""Bar sepedahan tekan nggunung boyok rasane kaya dibalsemi sedinaan"",
  ""Option0"": ""Bar sepedahan tekan nggunung boyok rasane keju kabeh"",
  ""Option1"": ""Bar sepedahan tekan nggunung boyok rasane penak"",
  ""Explanation"": ""The metaphor here is comparing the feeling of riding a bike uphill to the sensation of being coated with coolness. The option 'Bar sepedahan tekan nggunung boyok rasane penak' closely describes the feeling of relief or refreshment, similar to being cooled down, making it the closest match."",
  ""Answer"": 1
}",1,,1
"Ra umum, duwurmen adike Anas sak wit klapa",Adike Anas duwur banget,Adike Anas cendek,0,"{
  ""answer"": 0
}

Explanation: The metaphor compares the height of Anas to a coconut tree, so the closest meaning would be ""Adike Anas is very tall"" (Option 0).",0,,1
"Ra umum, duwurmen adike Anas sak wit ceplukan",Adike Anas duwur banget,Adike Anas cendek,1,"{
  ""answer"": 0
}

Explanation: The metaphor comparing someone to a banana plant that is very tall and high suggests that they are very intelligent or accomplished. Option 0) Adike Anas duwur banget means ""Adike Anas is very tall"", which in this context would translate to ""Adike Anas is very accomplished"".",0,,0
Padange lampu kamarku kaya sokle,Lampu kamarku padang,Lampu kamarku peteng,0,"{
  ""answer"": 0,
  ""explanation"": ""The metaphor compares the brightness or abundance of lights in the room to a soccer field. 'Padang lampu kamarku kaya sokle' suggests that the room is well-lit or has many lights, similar to a soccer field which is typically well-lit. Therefore, the closest meaning would be option 0) Lampu kamarku padang.""
}",0,,1
Padange lampu kamarku kaya ublik,Lampu kamarku padang,Lampu kamarku peteng,1,"{
  ""answer"": 1
}

Explanation: The metaphor compares the brightness of the lights in the room to daylight, implying that the room is very bright. ""Padange lampu kamarku kaya ublik"" can be interpreted as ""the lights in my room are as bright as daylight"", which is closer in meaning to option 1) Lampu kamarku peteng (bright lights in my room).",1,,1
Mas Edi lak mlayu jan kaya kancil,Mas Edi lak mlayu cepet,Mas Edi lak mlayu rindik,0,"{
  ""Question"": ""Mas Edi lak mlayu jan kaya kancil"",
  ""Option0"": ""Mas Edi lak mlayu cepet"",
  ""Option1"": ""Mas Edi lak mlayu rindik"",
  ""Answer"": 0
}

Explanation: The metaphor ""Mas Edi lak mlayu jan kaya kancil"" is comparing Mas Edi's manner of leaving to that of a kancil (mouse deer), which is known for being quick and agile. Therefore, the closest meaning would be ""Mas Edi lak mlayu cepet"" which translates to ""Mas Edi leaves quickly"".",0,,1
Mas Edi lak mlayu jan kaya semut,Mas Edi lak mlayu cepet,Mas Edi lak mlayu rindik,1,"{
  ""answer"": 0
}

Explanation: The metaphor is comparing Mas Edi to an ant, emphasizing his quick pace. Therefore, the option ""Mas Edi lak mlayu cepet"" is the closest meaning to the metaphor.",0,,0
Untune Dik Sri mbiji timun,Untine Dik Sri tata,Untine Dik Sri gedi-gedi ting mbedesal,0,"{
  ""answer"": 0
} 

In this metaphor, ""Untune Dik Sri mbiji timun"" can be interpreted as untangling a messy situation or problem. Option 0) ""Untine Dik Sri tata"" is closer to this meaning as it implies straightening or resolving the issue. Option 1) ""Untine Dik Sri gedi-gedi ting mbedesal"" does not convey the same idea of untangling or solving a problem.",0,,1
Untune Dik Sri ngungkal gerang,Untine Dik Sri tata,Untine Dik Sri gedi-gedi ting mbedesal,1,"{
  ""answer"": 1
}

Explanation: The metaphor ""Untune Dik Sri ngungkal gerang"" suggests a situation where something is disrupted or out of tune, similar to someone trying to play a musical instrument but creating a dissonant sound. Therefore, the option ""Untine Dik Sri gedi-gedi ting mbedesal"" which means that something is not going smoothly or harmoniously, is the closest meaning to the metaphor.",1,,1
Polahe bocah cilik kuwi kaya kitiran,Bocah cilik kuwi ora isa meneng,Bocah cilik kuwi tura-turu ae,0,"{
  ""question"": ""Polahe bocah cilik kuwi kaya kitiran"",
  ""option0"": ""Bocah cilik kuwi ora isa meneng"",
  ""option1"": ""Bocah cilik kuwi tura-turu ae"",
  ""explanation"": ""The metaphor compares the child to a growing sprout, implying that they are like a seedling that is developing and reaching new heights. Option 1 'Bocah cilik kuwi tura-turu ae' is the closest meaning as it suggests that the child is constantly growing and evolving."",
  ""answer"": 1
}",1,,0
Polahe bocah cilik kuwi kaya kebo,Bocah cilik kuwi ora isa meneng,Bocah cilik kuwi tura-turu ae,1,"{
  ""answer"": 1
}

Explanation: The metaphor is comparing the young child to a large buffalo. Option 1) ""Bocah cilik kuwi tura-turu ae"" means the young child is just playful, like a bull, which is closer in meaning to the metaphor.",1,,1
Pasuryane Mas Tono kaya Arjuna,Pasuryane Mas Tono ganteng,Pasuryane Mas Tono elek,0,"{
	""Question"": ""Pasuryane Mas Tono kaya Arjuna"",
	""Option_0"": ""Pasuryane Mas Tono ganteng"",
	""Option_1"": ""Pasuryane Mas Tono elek"",
	""Explanation"": ""The metaphor compares Mas Tono to Arjuna, a character known for his wealth and prosperity. The closest meaning would be 'Pasuryane Mas Tono kaya Arjuna' means 'Pasuryane Mas Tono wealthy like Arjuna'."",
	""Answer"": 0
}",0,,1
Pasuryane Mas Tono kaya Rahwana,Pasuryane Mas Tono ganteng,Pasuryane Mas Tono elek,1,"{
  ""answer"": 1
} 

The metaphor ""Pasuryane Mas Tono kaya Rahwana"" is comparing Mas Tono to Rahwana, who is known for his wealth and power. In this context, ""kaya"" means rich. Therefore, the meaning closest to the metaphor is ""Pasuryane Mas Tono elek"" which means ""Mas Tono is wealthy"" in English.",1,,1
Pipine Rida aluse kaya dalan aspalan,Pipine Rida alus,Pipine Rida kasar kakehan kukul,0,"{
  ""question"": ""Pipine Rida aluse kaya dalan aspalan"",
  ""option"": 0,
  ""explanation"": ""In this metaphor, 'Pipine Rida' is compared to a vehicle moving smoothly on paved roads. Thus, the option 'Pipine Rida alus', meaning 'Pipine Rida is smooth and comfortable', is the closest in meaning.""
}",0,,1
Pipine Rida aluse kaya dalan makadhaman,Pipine Rida alus,Pipine Rida kasar kakehan kukul,1,"{
  ""question"": ""Pipine Rida aluse kaya dalan makadhaman"",
  ""options"": {
    ""0"": ""Pipine Rida alus"",
    ""1"": ""Pipine Rida kasar kakehan kukul""
  },
  ""answer"": 0
} 

Explanation: The phrase ""Pipine Rida aluse kaya dalan makadhaman"" talks about journey or path, which is often associated with progress, growth, or development. In this metaphor, ""aluse"" refers to the starting point or foundation. Therefore, the correct option is 0) Pipine Rida alus.",0,,0
Hawane awan iki kaya dolan menyang gurun,Hawane awan iki panas,Hawane awan iki adhem,0,"{
  ""question"": ""Hawane awan iki kaya dolan menyang gurun"",
  ""option_selected"": 0,
  ""explanation"": ""In this metaphor, 'Hawane awan iki kaya dolan menyang gurun' is referring to the heat increasing as one goes towards the desert. So, the closest meaning is 'Hawane awan iki panas' which translates to 'The sun here is hot.'"",
  ""output"": {
    ""answer"": 0
  }
}",0,,1
Hawane awan iki kaya dolan menyang kutub,Hawane awan iki panas,Hawane awan iki adhem,1,"{
  ""answer"": 1
} 

The metaphor ""Hawane awan iki kaya dolan menyang kutub"" translates to ""It feels like walking towards the fire."" Option 1) Hawane awan iki adhem, which means ""Hawane feels hot"", is the closest meaning to the metaphor as it conveys the idea of approaching something dangerous or uncomfortable.",1,,1
Nyawang dedege Kartolo kok kaya kendel ngringkel,Kartolo kuwi wani,Kartolo kuwi weden,0,"{
  ""answer"": 1
} 

In Javanese culture, ""kendel ngringkel"" refers to something soft and squishy. In this metaphor, the speaker is comparing Kartolo to ""kendel ngringkel,"" implying that Kartolo is naive and impressionable (""kok kaya kendel ngringkel""). Of the two options, ""Kartolo kuwi weden"" means ""Kartolo is naive,"" making it the closest meaning to the metaphor.",1,,0
Nyawang dedege Kartolo kok kaya dhadang ora godak,Kartolo kuwi wani,Kartolo kuwi weden,1,"{
  ""question"": ""Nyawang dedege Kartolo kok kaya dhadang ora godak"",
  ""option0"": ""Kartolo kuwi wani"",
  ""option1"": ""Kartolo kuwi weden"",
  ""explanation"": ""In this metaphor, Kartolo is being compared to a shadow that is neither clear nor distinct. This implies that Kartolo is elusive or mysterious, hence closer in meaning to 'Kartolo kuwi wani' (Kartolo is enigmatic or secretive)."",
  ""answer"": 0
}",0,,0
Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan tangis,Kahanan omahe Pak Sardi kang lagi susah,Kahanan omahe Pak Sardi kang lagi seneng,0,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan tangis"" compares the situation to the sound of rain that helps during difficult times. Therefore, the closest meaning is option 0) Kahanan omahe Pak Sardi kang lagi susah (Pak Sardi's house situation is currently difficult).",0,,1
Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan dhuwit,Kahanan omahe Pak Sardi kang lagi susah,Kahanan omahe Pak Sardi kang lagi seneng,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the help provided by Pak Sardi to rain during a drought, indicating that it is greatly appreciated during a difficult time. Option 0) ""Kahanan omahe Pak Sardi kang lagi susah"" is the closest meaning to the metaphor as it represents Pak Sardi helping during a tough or difficult situation.",0,,0
Nek gawe wedang kopi Painem kaya disoki juruh,Nek gawe wedang kopi Painem legi,Nek gawe wedang kopi Painem pahit,0,"{
  ""question"": ""Nek gawe wedang kopi Painem kaya disoki juruh"",
  ""option0"": ""Nek gawe wedang kopi Painem legi"",
  ""option1"": ""Nek gawe wedang kopi Painem pahit"",
  ""explanation"": ""The metaphor compares making coffee to the process of pouring hot water on grass. In this context, 'kaya' (meaning rich) is associated with the drink being strong or flavorful, similar to grass being lush and dense. Therefore, the option 'Nek gawe wedang kopi Painem legi' fits closer to the metaphor, as 'legi' (meaning lush) reinforces the idea of",1,NG,0
Nek gawe wedang kopi Painem kaya disoki suruh,Nek gawe wedang kopi Painem legi,Nek gawe wedang kopi Painem pahit,1,"{
  ""Explanation"": ""Drinking a bitter coffee is compared to the feeling of being scolded, which is an unpleasant experience."",
  ""Answer"": 1
}",1,,1
