Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
ಆ ಸ್ಥಳವು ಆಸ್ಪತ್ರೆ ರೀತಿ ಶುಚಿಯಾಗಿದೆ.,ಆ ಸ್ಥಳವು ಶುಚಿಯಾಗಿದೆ,ಆ ಸ್ಥಳವು ಶುಚಿಯಾಗಿಲ್ಲ,0,"{
  ""explanation"": ""The metaphor refers to the cleanliness of the place being like a hospital, which is usually very clean. Option 0 is the closest meaning as it states that the place is clean."",
  ""answer"": 0
}",0,,1
ಆ ಸ್ಥಳವು ಮೀನಿನ ಮಾರುಕಟ್ಟೆ ರೀತಿ ಶುಚಿಯಾಗಿದೆ.,ಆ ಸ್ಥಳವು ಶುಚಿಯಾಗಿದೆ,ಆ ಸ್ಥಳವು ಶುಚಿಯಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the cleanliness of the place to a fish market, implying that the place is dirty. So, the meaning is 'the place is not clean'."",
  ""answer"": 1
}",1,,1
ಆ ಪ್ರದೇಶ ಯುದ್ಧ ಭೂಮಿಯಷ್ಟು ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ.,ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ,ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿಲ್ಲ,0,"{
  ""Explanation"": ""In this metaphor, the area is compared to a battlefield filled with violence. The meaning closer to the metaphor is that the area is filled with violence (option 0)."",
  ""Answer"": 0
}",0,,1
ಆ ಪ್ರದೇಶ ದೇವಸ್ಥಾನದಷ್ಟು ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ.,ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ,ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor suggests that the area is filled with violence, so the option 0) is the closest meaning as it states that the area is filled with violence."",
  ""answer"": 0
}",0,,0
ಅವರ ಬಾಂಧವ್ಯ ಸ್ನೇಹಿತರ ಹಾಗೆ ಗಟ್ಟಿಯಿದೆ.,ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇದೆ,ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇಲ್ಲ,0,"{
  ""Explanation"": ""Comparing the strength of their relationship to that of friends"",
  ""Answer"": 0
}",0,,1
ಅವರ ಬಾಂಧವ್ಯ ಶತ್ರುಗಳು ಹಾಗೆ ಗಟ್ಟಿಯಿದೆ.,ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇದೆ,ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇಲ್ಲ,1,"{
  ""answer"": 0
} 

Explanation: In this metaphor, the phrase ""ಬಾಂಧವ್ಯ ಶತ್ರುಗಳು"" suggests that the relationship is like enemies, meaning it is strong and difficult. Option 0) ""ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇದೆ"" directly relates to this idea, stating that their relationship is strong. So, this option is the closest meaning to the metaphor.",0,,0
ಆ ಜಾಗವು ದೇವಸ್ಥಾನದಷ್ಟು ನಿಶ್ಯಬ್ದವಾಗಿದೆ.,ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿದೆ,ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿಲ್ಲ,0,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the location to a temple, emphasizing the silence and lack of noise. Option 0) ""ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿದೆ"" translates to ""That place is silent"", which closely reflects the metaphor. Option 1) ""ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿಲ್ಲ"" translates to ""That place is not silent"", which does not align with the metaphor.",0,,1
ಆ ಜಾಗವು ಟ್ರಾಫಿಕ್ ಜಾಮ್ನಷ್ಟು ನಿಶ್ಯಬ್ದವಾಗಿದೆ.,ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿದೆ,ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the place to a traffic jam, indicating that the place is very noisy and crowded."",
  ""answer"": 0
}",0,,0
ಅವನು ವೃದ್ಧನಷ್ಟು ದುರ್ಬಲನಿದ್ದಾನೆ,ಅವನು ದುರ್ಬಲನಾಗಿದ್ದಾನೆ,ಅವನು ದುರ್ಬಲನಾಗಿಲ್ಲ,0,"{
  ""explanation"": ""The metaphor implies that he is as weak as an elderly person, not that he is becoming weak"",
  ""answer"": 0
}",0,,1
ಅವನು ಯುವಕನಷ್ಟು ದುರ್ಬಲನಿದ್ದಾನೆ,ಅವನು ದುರ್ಬಲನಾಗಿದ್ದಾನೆ,ಅವನು ದುರ್ಬಲನಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the person to a young man, implying that he is as weak as a young man."",
  ""answer"": 0
}",0,,0
ಅವನು ಯುವಕನಷ್ಟು ಬಲಿಷ್ಠನಿದ್ದಾನೆ.,ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ,ಅವನು ಬಲಿಷ್ಠನಿಲ್ಲ,0,"{
  ""explanation"": ""The metaphor is comparing someone's strength to that of a young man, implying that the person is very strong."",
  ""answer"": 0
}",0,,1
ಅವನು ವೃದ್ಧನಷ್ಟು ಬಲಿಷ್ಠನಿದ್ದಾನೆ.,ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ,ಅವನು ಬಲಿಷ್ಠನಿಲ್ಲ,1,"{
  ""answer"": 0
}

Explanation: The metaphor uses the comparison of being as strong as an old man, implying that the person is very strong. Option 0) ""ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ"" translates to ""He is as strong."" This meaning aligns closer with the metaphor.",0,,0
ಅದು ರಕ್ತದಂತೆ ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ.,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿಲ್ಲ,0,"{
  ""explanation"": ""The metaphor compares the object to the color red, emphasizing its intensity or importance. Option 0 reflects this meaning."",
  ""answer"": 0
}",0,,1
ಅದು ನೀರಿನಂತೆ ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ.,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿಲ್ಲ,1,"{
  ""answer"": 0
} 

Explanation: The phrase ""ಅದು ನೀರಿನಂತೆ ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ"" is a metaphor comparing something to the color red like water. Option 0) ""ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ"" translates to ""It is red in color,"" which is the closest meaning to the metaphor. This option emphasizes the similarity in",0,,0
ಅದರ ವೇಗ ಆಮೆಯಷ್ಟು ನಿಧಾನವಾಗಿದೆ.,ಅದರ ವೇಗ ತುಂಬಾ ನಿಧಾನ,ಅದರ ವೇಗ ನಿಧಾನವಾಗಿಲ್ಲ,0,"{
  ""explanation"": ""The metaphor compares the speed of something to that of a tortoise, indicating that it is very slow."",
  ""answer"": 1
}",1,,0
ಅದರ ವೇಗ ಮೊಲದಷ್ಟು ನಿಧಾನವಾಗಿದೆ.,ಅದರ ವೇಗ ತುಂಬಾ ನಿಧಾನ,ಅದರ ವೇಗ ನಿಧಾನವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the speed to that of a snail, indicating that it is very slow."",
  ""answer"": 1
}",1,,1
ಆ ವಸ್ತು ಟೆಲಿಫೋನ್ನಷ್ಟು ಹಳೆಯದು.,ಆ ವಸ್ತು ಹಳೆಯದು,ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ,0,"{
  ""question"": ""ಆ ವಸ್ತು ಟೆಲಿಫೋನ್ನಷ್ಟು ಹಳೆಯದು."",
  ""options"": {
    ""0"": ""ಆ ವಸ್ತು ಹಳೆಯದು"",
    ""1"": ""ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ""
  },
  ""answer"": 1
}",1,,0
ಆ ವಸ್ತು ಮೊಬೈಲ್ನಷ್ಟು ಹಳೆಯದು.,ಆ ವಸ್ತು ಹಳೆಯದು,ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the object to something as old as a mobile phone, implying that the object is very old. Option 0) translates to ""The object is old"", which is the closest meaning to the metaphor.",0,,0
ಆಹಾರವು ರಾಗಿಯಂತೆ ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ.,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿದೆ,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿಲ್ಲ,0,"{
  ""Explanation"": ""Comparing food to ragi which is known for its nutritional benefits implies that the food is nutritious."",
  ""Answer"": 0
}",0,,1
ಆಹಾರವು ಮ್ಯಾಗಿ ಯಂತೆ ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ.,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿದೆ,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿಲ್ಲ,1,"{
  ""answer"": 0
}  

Explanation: The metaphor ""food is like a magnet"" implies that the food is attracting something, in this case, nutrients. Thus, option 0, which states that ""This food is filled with nutrition,"" is the closest meaning to the metaphor.",0,,0
ಆ ಪ್ರದೇಶ ಆಟದ ಮೈದಾನದಂತೆ ವಿಶಾಲವಾಗಿದೆ.,ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿದೆ,ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿಲ್ಲ,0,"{
  ""Explanation"": ""The metaphor is comparing the area to a large playing field, suggesting that it is spacious and vast."",
  ""Answer"": 0
}",0,,1
