Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
hirup kawas kurung batok,hirup kawas kakekang,hirup kawas bebas.,0,"{
  ""answer"": 0
}

Explanation: In the metaphor ""hirup kawas kurung batok,"" ""kurung batok"" means restricted or limited. So, the closest meaning would be ""hirup kawas kakekang,"" where ""kakekang"" means confined or constrained.",0,,1
hirup kawas murag bulu bitis.,hirup kawas kakekang,hirup kawas bebas.,1,"{
  ""answer"": 0
} 

This metaphor seems to refer to the feeling of breathing freely and taking in fresh air. The option ""hirup kawas kakekang"" is the closest in meaning, as it implies breathing deeply and feeling refreshed.",0,,0
jadi jalma teh kudu hampang birit,jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,0,"{
  ""answer"": 0
}

Explanation: The metaphor ""jadi jalma teh kudu hampang birit"" can be interpreted as 'a person must work hard' rather than 'a person must be lazy.' Therefore, the option 0) jadi jalma teh kudu rajin (a person must work hard) is the closest meaning to the metaphor.",0,,1
jadi jalma teh kudu beurat birit.,jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""jadi jalma teh kudu beurat birit"" can be interpreted as ""jadi orang tersebut harus rajin"" which means that the person needs to work hard. Option 0) jadi jalma teh kudu rajin is the closest in meaning to this metaphor.",0,,0
Mamat lumpatna siga uncal,mamat lumpat siga gancang,mamat lumpat siga laun.,0,"{
  ""Explanation"": ""In the metaphor, 'Mamat lumpatna siga uncal' implies that something is happening quickly or abruptly. Therefore, the closest meaning would be 'mamat lumpat siga gancang' which denotes fast movement."",
  ""Answer"": 0
}",0,,1
Mamat lumpatna siga kuya.,mamat lumpat siga gancang,mamat lumpat siga laun.,1,"{
  ""Explanation"": ""The metaphor uses the phrase 'mamat lumpatna siga kuya' which means 'the frog jumps quickly'. The question is comparing something to the speed of a frog jumping, so the closest meaning would be option 0) 'mamat lumpat siga gancang' which means 'the frog jumps quickly'"",
  ""Answer"": 0
}",0,,0
hirup teh kudu boga pamadeugan,hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,0,"{
  ""answer"": 0
} 

In this metaphor, ""hirup teh kudu boga pamadeugan"" can be interpreted as ""life must have principles"" which is closer in meaning to having a strong foundation or principles rather than being wishy-washy or indecisive. Hence, option 0 is the correct choice.",0,,1
hirup teh kudu boga kaditu kadieu.,hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""hirup teh kudu boga kaditu kadieu"" implies having a firm stance or conviction in life, which aligns more closely with the option 0) hirup teh kudu boga pendirian (having principles) rather than option 1) hirup teh kudu boga plin-plan (being indecisive).",0,,0
si amat mah sok ngeduk cikur kedah mitutur,jadi jalma kudu jujur,jadi jalma kudu boong.,0,"{
  ""Explanation"": ""The phrase indicates that someone is pretending to be knowledgeable in a certain subject, but actually lacks understanding."",
  ""Answer"": 1
}",1,,0
si amat mah sok luncat licin.,jadi jalma kudu jujur,jadi jalma kudu boong.,1,"{
  ""answer"": 0
}

Explanation: The phrase ""si amat mah sok luncat licin"" is a metaphor that could mean someone is trying to dance around the truth or be deceitful (boong). Therefore, the closest meaning is ""jadi jalma kudu jujur"" which translates to ""one should be honest.""",0,,0
ceuk ema jadi jalmi teh kedah sing someah hade ka semah,ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,0,"{
  ""answer"": 0
}

Explanation: The metaphor compares someone to a cup of tea, suggesting that the person should be warm and friendly (ramah) rather than rude and unfriendly (judes). Since the metaphor implies the person should be nice, the closest meaning is option 0) ceuk ema jadi jalmi teh kedah ramah.",0,,1
ceuk ema jadi jalmi teh kedah sing goreng bagug.,ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,1,"{
  ""answer"": 0
}

Explanation: The metaphor comparing someone to tea can mean that the person is warm and friendly (ramah) or cold and unfriendly (judes). In this context, the phrase ""ceuk ema jadi jalmi teh kedah sing goreng bagug."" indicates that the person being described is kind and welcoming, similar to the characteristics of warm tea. Therefore, option 0) ceuk ema jadi jalmi teh kedah ramah is the closest meaning to the metaphor.",0,,0
si eta mah ateul biwir,si eta mah ngomong wae,si eta mah cicing wae.,0,"{
  ""answer"": 0,
  ""explanation"": ""In this metaphor, 'si eta mah ateul biwir' is comparing someone who is pale to a ghost. The closest meaning to this metaphor would be 'si eta mah ngomong wae' which means someone who is pale is talking normally. This conveys the idea that the person's complexion is so white, it can be compared to a ghost.""
}",0,,1
si eta mah kawas gaang katincak.,si eta mah ngomong wae,si eta mah cicing wae.,1,"{
  ""question"": ""si eta mah kawas gaang katincak."",
  ""option_selected"": 0,
  ""explanation"": ""The metaphor 'si eta mah kawas gaang katincak' is closer in meaning to 'si eta mah ngomong wae' which means 'si eta speaks clearly or straightforwardly'. This is because 'ngomong wae' in Indonesian implies speaking directly or honestly, matching the clarity and directness suggested by the metaphor."",
  ""output"": {
    ""option_index"": 0
  }
}",0,,0
lamun mikir kudu pondok lengkah,lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,0,"{
  ""answer"": 0
} 

Explanation: The metaphor ""pondok lengkah"" refers to taking small steps or not overthinking things. Option 0) ""lamun mikir kudu teu mikir panjang"" translates to ""if you think, you shouldn't think too much"" which aligns more closely with not overthinking and taking small steps compared to option 1) ""lamun mikir kudu mikir jauh"" which translates to ""if you think, you should think far"" which does not match the metaphor of taking small steps.",0,,1
lamun mikir kudu panjang lengkah.,lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,1,"{
  ""answer"": 1
}

Explanation: The metaphor ""lamun mikir kudu panjang lengkah"" is closer in meaning to ""lamun mikir kudu mikir jauh"" which translates to ""when thinking, one must think far"" implying that one should think deeply or thoroughly.",1,,1
budak eta mah epes meer,budak eta mah babarian ceurik,budak eta mah wanian.,0,"{
  ""answer"": 0
}

Explanation: In this metaphor, ""budak eta mah epes meer"" refers to someone who is rough and uncivilized. The option 0) ""budak eta mah babarian ceurik"" reflects this meaning, as it translates to ""a wild and uncultured person"". Option 1) ""budak eta mah wanian"" does not convey the same idea of being uncivilized, so it is not the closest meaning to the metaphor.",0,,1
budak eta mah wanteran.,budak eta mah babarian ceurik,budak eta mah wanian.,1,"{
  ""answer"": 1
} 

In this metaphor, ""budak eta mah wanteran"" likely means ""children waiting at the riverbank"" as they are eagerly anticipating something or someone, similar to how ""wanian"" implies waiting or anticipating. Option 1) ""budak eta mah wanian"" aligns with this interpretation.",1,,1
jelema lamun geus kandel kulit bengeut,jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,0,"{
  ""Question"": ""Where Startphrase: jelema lamun geus kandel kulit bengeut"",
  ""Option_Selected"": 1,
  ""Explanation"": ""This metaphor implies that if a person has rough skin, they need to be treated with care, similar to how delicate things need to be handled gently. The second option best captures this meaning, stating that if a person has rough skin, they need to be handled carefully and with gentleness.""
}",1,,0
jelema lamun geus isinan kudu diantepkeun.,jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor is emphasizing the importance of being prepared for a situation. In this case, the phrase ""jelema lamun geus isinan kudu diantepkeun"" translates to ""a person, when it's raining, should be prepared."" The closest meaning is option 0, which states ""a person, when they don't have an umbrella, should be prepared,"" implying the importance of being proactive and ready for unexpected circumstances.",0,,0
si Udin jadi jalma teh meni buntut kasiran,"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,0,"{
  ""Explanation"": ""In this metaphor, being a 'buntut kasiran' implies being in a difficult or uncomfortable situation, similar to if Udin were carrying a heavy burden. This is more closely related to option 0, where 'si Udin jadi jalma teh meni koret, pedit' means Udin is experiencing a challenging situation."",
  ""Answer"": 0
}",0,,1
si Udin jadi jalma teh meni berehan.,"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,1,"{
  ""explanation"": ""The metaphor is comparing Udin to a tree that grows tall. 'Meni berehan' means growing taller and reaching higher heights, similar to a tree growing tall. 'Meni koret, pedit' does not convey the same idea."",
  ""answer"": 0
}",0,,0
Iis mah amis daging,Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,0,"{
  ""answer"": 0
} 

The metaphor ""Iis mah amis daging"" can be interpreted as ""Iis mah gampang kana panyakit"" since it suggests that eating meat is a common cause of illness. ""Iis mah teu gampang kana panyakit"" would imply the opposite, which does not align with the metaphor.",0,,1
Iis mah pahang tulang.,Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,1,"{
  ""Explanation"": ""The metaphor implies that something is not easy to deal with or solve, comparing it to a difficult bone structure."",
  ""Answer"": 1
}",1,,1
