Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
Watoto ni malaika,Watoto daima hawana hatia,Yeye daima ni mwenye dhambi,0,"{
  ""answer"": 0
}",0,,1
Yeye ni mnyama.,Watoto daima hawana hatia,Yeye daima ni mwenye dhambi,1,"{
  ""answer"": 1
} 

The phrase ""Yeye ni mnyama"" is comparing someone to an animal, implying negative characteristics like being wild, uncivilized, or engaging in sinful behavior. Option 1) ""Yeye daima ni mwenye dhambi"" aligns with this idea, suggesting that the person is always sinful.",1,,1
Maneno yake ni kama kisu,Maneno yako yanaumiza,Maneno yake yanafariji,0,"{
	""Answer"": 0
}

Explanation: The metaphor ""Maneno yake ni kama kisu"" means that the person's words are sharp like a knife, which implies that their words are hurtful or cutting. Therefore, the closest meaning would be ""Maneno yako yanaumiza"" which translates to ""His words are hurting.""",0,,1
Maneno yake ni kama kinanda,Maneno yako yanaumiza,Maneno yake yanafariji,1,"{
  ""answer"": 1
}

Explanation: The metaphor compares ""his words"" to a piano, suggesting that his words bring comfort or peace. Option 1) ""Maneno yake yanafariji"" fits this interpretation, as it means ""his words bring comfort.""",1,,1
Tabasamu lake huangaza chumba kizima,Ana tabasamu zuri,Tabasamu lake linatisha,0,"{
  ""answer"": 0
}

Explanation: The phrase ""Tabasamu lake huangaza chumba kizima"" means ""A smile lights up a dark room"" which conveys the meaning that a beautiful smile can bring light and happiness to a gloomy situation. Option 0) Ana tabasamu zuri (He/she has a beautiful smile) is the closest meaning to the metaphor.",0,,1
Tabasamu lake lilijaa  vitisho  kama shomoro mdogo aliyeshika shoka,Ana tabasamu zuri,Tabasamu lake linatisha,1,"{
	""Explanation"": ""The metaphor compares the smile to a small dagger holding a threat, implying that the smile is potentially intimidating or sinister."",
	""Answer"": 1
}",1,,1
Nipo katika dimbwi la furaha,Nina furaha kubwa sana,Nina huzuni nyingi sana,0,"{
  ""answer"": 0
}

Explanation: The metaphor ""Nipo katika dimbwi la furaha"" suggests being immersed in happiness, so the closest meaning would be option 0) Nina furaha kubwa sana (I am very happy).",0,,1
Ninazama katika bahari ya huzuni,Nina furaha kubwa sana,Nina huzuni nyingi sana,1,"{
""answer"": 1,
""explanation"": ""The metaphor 'Ninazama katika bahari ya huzuni' translates to 'I am sinking in a sea of sadness'. This suggests that the speaker is overwhelmed by sadness, hence the closest meaning is 'Nina huzuni nyingi sana'.""
}",1,,1
"Penzi lao limepamba moto""",Wale wanapendana sana,Wale hawapendani sana,0,"{
  ""answer"": 0
}

Explanation: ""Penzi lao limepamba moto"" is a metaphor which means ""their love is burning bright"". This implies that they are very much in love, option 0) Wale wanapendana sana.",0,,1
"Penzi lao ni kama moto wa kibatari kwenye upepo""",Wale wanapendana sana,Wale hawapendani sana,1,"{
  ""explanation"": ""The metaphor compares their love to a fire in a windy place, suggesting that their love is passionate and intense."",
  ""answer"": 0
}",0,,0
Wali huu una ladha kama umepikwa  hotelini,Chakula ni kitamu,Chakula ni kibaya,0,"{
  ""answer"": 0,
  ""explanation"": ""The metaphor compares the taste of this year to food cooked in a hotel, which implies that the taste is good. Therefore, the closest meaning is that the food is delicious (Chakula ni kitamu).""
}",0,,1
Wali huu unaladha kama umepikwa bwenini,Chakula ni kitamu,Chakula ni kibaya,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Wali huu unaladha kama umepikwa bwenini"" compares the taste of the food to a meal prepared in a professional setting which implies that the food is delicious. Therefore, the closest meaning is that the food is tasty, which corresponds to option 0.",0,,0
Mtihani ulikuwa kama kipande cha keki,Mtihani ulikuwa rahisi sana,Mtihani ulikua mgumu,0,"{
  ""answer"": 1
}

Explanation: The metaphor comparing the exam to a piece of cake suggests that the exam was easy, as eating a piece of cake is usually an enjoyable and effortless task. Therefore, the closest meaning would be ""Mtihani ulikuwa rahisi sana"" (Option 0).",1,,0
Mtihani ulikuwa kama ugali wa jela,Mtihani ulikuwa rahisi sana,Mtihani ulikua mgumu,1,"{
  ""answer"": 1
}

Explanation: Just like ugali wa jela (prison meal), the exam was described as tough and difficult. Option 1) ""Mtihani ulikuwa mgumu"" best captures that meaning.",1,,1
Mzamiru alitoa pasi rula,Mchezaji alitoa pasi nzuri,Mchezaji alitoa pasi mbaya,0,"{
  ""answer"": 0,
  ""explanation"": ""The metaphor 'Mzamiru alitoa pasi rula' implies that the player passed the ball smoothly and accurately, similar to option 0) Mchezaji alitoa pasi nzuri."",
}",0,,1
Feisal alitoa pasi mkaa,Mchezaji alitoa pasi nzuri,Mchezaji alitoa pasi mbaya,1,"{
  ""explanation"": ""In this metaphor, 'Feisal alitoa pasi mkaa' means that Feisal made a bad pass, similar to 'Feisal alitoa pasi mbaya'."",
  ""answer"": 1
}",1,,1
Vijana ndio taifa la kesho,Vijana ndio watakaoleta maendeleo huko mbeleni,Vijana hawahusiki na maendeleo ya taifa ya baadae,0,"{
  ""question"": ""Vijana ndio taifa la kesho"",
  ""option_selected"": 0,
  ""explanation"": ""This metaphor suggests that the youth are the future of the nation and will play a significant role in its development and progress. Option 0 reflects this idea by stating that the youth will bring about progress in the future."",
  ""output"": 0
}",0,,1
Vijana wataozesha taifa,Vijana ndio watakaoleta maendeleo huko mbeleni,Vijana wataliharibu taifa.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Vijana wataozesha taifa"" can be interpreted as ""Vijana ndio watakaoleta maendeleo huko mbeleni"" which means that the youth will contribute to the development of the nation in the future.",0,,0
Sauti yako ni muziki masikioni mwangu,Sauti yako ni inanipa faraja na raha niisikiapo,Sauti yako ni kero kwangu,0,"{
  ""answer"": 0
}

Explanation: The metaphor compares the sound of someone's voice to music, suggesting that it brings comfort and joy when heard. Option 0) reflects this meaning, while Option 1) suggests that the voice is annoying and irritating, which is not in line with the metaphor.",0,,1
Sauti yako ni kama chiriku,Sauti yako ni inanipa faraja na raha niisikiapo,Sauti yako ni kero kwangu,1,"{
  ""answer"": 0
}
Explanation: In this metaphor, comparing someone's voice to the sound of a chirping bird implies that their voice brings comfort and joy when heard, similar to how the sound of a bird chirping can be soothing. Option 0) reflects this idea, while option 1) suggests that the voice is annoying or bothersome, which is not the intended meaning of the metaphor.",0,,0
Mapenzi ni kikohozi,Mapenzi hayafichiki,Mapenzi yanafichika,0,"{
	""question"": ""Mapenzi ni kikohozi"",
	""options"": {
		""0"": ""Mapenzi hayafichiki"",
		""1"": ""Mapenzi yanafichika""
	},
	""answer"": 0
}

Explanation: In this metaphor, ""Mapenzi ni kikohozi"" is comparing love to a cough. When someone coughs, it is usually loud and cannot be hidden or concealed. Similarly, true love is often open, visible, and cannot be hidden. Therefore, the closest meaning to this metaphor is ""Mapenzi hayafichiki"" meaning love cannot be hidden or concealed.",0,,1
Mapenzi ni kama punje ya unga kwenye mchele,Mapenzi hayafichiki,Mapenzi yanafichika,1,"{
  ""answer"": 1
}

Explanation: In this metaphor, ""Mapenzi ni kama punje ya unga kwenye mchele,"" the comparison is implying that love is hidden just like a grain of flour in a bowl of rice. Therefore, the meaning closest to this metaphor would be ""Mapenzi yanafichika"" which translates to ""Love is hidden.""",1,,1
Ujana ni moshi,Ujana huja na kuondoka haraka,Ujana hukaa kwa mda mrefu,0,"{
  ""explanation"": ""Youth is like smoke, it disappears quickly."",
  ""answer"": 0
}",0,,1
Ujana ni safari ndefu,Ujana huja na kuondoka haraka,Ujana hukaa kwa mda mrefu,1,"{
  ""answer"": 1
}

Explanation: The metaphor ""Ujana ni safari ndefu"" can be interpreted to mean that youth is a long journey, indicating that youth lasts for a long time before reaching old age (Ujana hukaa kwa mda mrefu).",1,,1
Maisha ni kama uji,Maisha si marahisi yanahitaji kupambana,Maisha ni marahisi,0,"{
  ""answer"": 0
}  

Explanation: The metaphor ""Maisha ni kama uji"" likens life to a porridge, which implies that life is not easy and requires effort and struggle (Option 0). It suggests that life is challenging and one needs to work hard to navigate through the difficulties and obstacles. Option 1, on the other hand, suggests that life is easy, which does not align with the metaphor used.",0,,1
"Maisha sio mchezo, ni vita",Maisha si marahisi yanahitaji kupambana,Maisha ni marahisi,1,"{
""Question1"": {
""Metaphor"": ""Maisha sio mchezo, ni vita"",
""Option0"": ""Maisha si marahisi yanahitaji kupambana"",
""Option1"": ""Maisha ni marahisi"",
""Answer"": 0
}
} 

Explanation: The metaphor compares life to a battle, implying that life is not easy and requires one to fight in order to succeed. Option 0 reflects this meaning by stating that life is not easy and requires one to fight. Option 1 contradicts the metaphor by suggesting that life is easy, which is not the intended meaning. Therefore, the correct answer is option 0.",0,,0
Kauli yake ilinikata maini,Kauli yake ilinifanya nijiskie vibaya,Kauli yake ilinifurahisha,0,"{
  ""answer"": 0
}

Explanation: The metaphor ""Kauli yake ilinikata maini"" implies that the individual's statement made the speaker feel bad. This is closer in meaning to option 0, ""Kauli yake ilinifanya nijiskie vibaya."" Option 1, ""Kauli yake ilinifurahisha,"" would be the opposite meaning and is not the intended interpretation of the metaphor.",0,,1
Kauli yake ilikua kama maji baridi kooni,Kauli yake ilinifanya nijiskie vibaya,Kauli yake ilinifurahisha,1,"{
  ""answer"": 1
} 

Explanation: The metaphor comparing the person's words to cold water in the throat suggests that the person's words were refreshing and pleasing, similar to the feeling of drinking cold water on a hot day. Option 1, ""Kauli yake ilinifurahisha"" (His words made me happy), is the closest in meaning to this interpretation.",1,,1
Awamu hii kutakua na michuano ya kukata na shoka,Awamu hii kutakua na michuano migumu,Awamu hii kutakua na michuano mirahisi,0,"{
  ""explanation"": ""Kukata na shoka ni ishara ya kitu chenye changamoto kubwa na upinzani mkali. Hivyo, maana inayofaa ni michuano migumu."",
  ""answer"": 0
}",0,,1
Awamu hii kutakua na michuano lelemama,Awamu hii kutakua na michuano migumu,Awamu hii kutakua na michuano mirahisi,1,"{
  ""answer"": 0
}  

The metaphor ""michuano lelemama"" implies that the competition will be tough or challenging, as opposed to easy or simple. Therefore, the option ""Awamu hii kutakua na michuano migumu"" is the closest in meaning.",0,,0
"Sandra, wewe ndio nuru ya macho yangu","Sandra, wewe ndiye unayenipa furaha","Sandra, wewe siye unayenipa furaha",0,"{
  ""answer"": 0
}

Explanation: In this metaphor, the Startphrase is comparing Sandra to the light of their eyes. The phrase ""nuru ya macho yangu"" is often used to express admiration or appreciation for someone who brings joy or brightness into one's life. Therefore, the closest meaning would be option 0) Sandra, wewe ndiye unayenipa furaha (Sandra, you are the one who brings me joy).",0,,1
"Sandra, wewe ni kama shubiri kinywani mwangu","Sandra, wewe ndiye unayenipa furaha","Sandra, wewe siye unayenipa furaha",1,"{
  ""answer"": 1
} 

Explanation: The metaphor comparing Sandra to a thorn in the mouth implies that Sandra is not the source of happiness or joy. Option 1 reflects this meaning as it states ""Sandra, wewe siye unayenipa furaha"" which means ""Sandra, you are not the one who gives me joy.""",1,,1
"Tofauti na dhana iliyokuwepo, mama ndiye nguzo  ya familia","Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja",Mama siye anayeishikilia familia kwa pamoja,0,"{
  ""answer"": 0
} 

Explanation: The metaphor suggests that contrary to the common belief, the mother is the pillar of the family, implying that she holds the family together. Option 0 reflects this meaning accurately, while option 1 does not convey the intended metaphorical meaning.",0,,1
"Tofauti na dhana iliyokuwepo, mama ndiye kunguni wa familia","Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja",Mama siye anayeishikilia familia kwa pamoja,1,"{
  ""answer"": 0
}

Explanation: The metaphor here is comparing a mother to a bedbug in the family. In this context, the closest meaning would be that just like a bedbug holds the family together, the mother is also the one holding the family together. Option 0) Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja is the most appropriate meaning in this metaphor.",0,,0
Ndoa zitakua hadimu siku za usoni,Ndoa zitakua hadimu siku si nyingi,Ndoa hazitakua hadimu siku za hapa karibuni,0,"{
  ""explanation"": ""The metaphor implies that marriages will be important in the future, indicating a long-term impact rather than a short-term impact."",
  ""answer"": 0
}",0,,1
Kutakua na ndoa kama siafu siku za usoni,Ndoa zitakua hadimu siku si nyingi,Ndoa hazitakua hadimu siku za hapa karibuni,1,"{
  ""answer"": 1
}  
The metaphor compares marriage to ants in the future, implying that the marriage will not cause trouble in the near future. Option 1) Ndoa hazitakua hadimu siku za hapa karibuni (Marriage will not cause trouble in the near future) is the meaning closest to the metaphor.",1,,1
Mapenzi ni vita,Mapenzi ni kitu kigumu,Mapenzi ni kitu kirahisi,0,"{
	""Explanation"": ""The metaphor compares love to war, implying that love can be challenging or difficult."",
	""Answer"": 0
}",0,,1
Mapenzi ni keki,Mapenzi ni kitu kigumu,Mapenzi ni kitu kirahisi,1,"{
  ""answer"": 1
} 

In this metaphor ""Mapenzi ni keki,"" the comparison is between love and a cake. Cakes are often associated with being sweet, enjoyable, and a source of pleasure. Therefore, the meaning closer to the metaphor would be ""Mapenzi ni kitu kirahisi"" (Love is something easy). This implies that love, like a cake, should be sweet, enjoyable, and bring happiness.",1,,1
Bahati ya mwenzio usiilalie mlango wazi,Bahati ikimkuta mwenzio usisubiri ikufikie na wewe,Bahari ikimkuta mwenzio subiri ikufikie na wewe,0,"{
  ""answer"": 0
} 

In this metaphor, ""Bahati ya mwenzio usiilalie mlango wazi"" is warning against leaving the door open for someone else's luck to come in. The closest meaning to this metaphor is ""Bahati ikimkuta mwenzio usisubiri ikufikie na wewe"" which means, ""If luck comes to someone else, don't wait for it to come to you as well."" This option reflects the idea of not relying on others' fortunes and taking proactive steps to create your own opportunities.",0,,1
Bahati ya mwenzio ilalie mlango wazi,Bahati ikimkuta mwenzio usisubiri ikufikie na wewe,Bahari ikimkuta mwenzio subiri ikufikie na wewe,1,"{
  ""answer"": 0
} 

In this metaphor, ""Bahati ya mwenzio ilalie mlango wazi"" translates to ""If luck befalls your neighbor, do not wait for it to reach you as well."" The closest meaning among the options is ""Bahati ikimkuta mwenzio usisubiri ikufikie na wewe"" which means ""If luck befalls your neighbor, do not wait for it to reach you as well."" This option conveys the idea that one should not passively wait for luck to come their way just because it has happened to someone else.",0,,0
Kijana huyu ana roho ya dhahabu,Kijana huyu ana roho nzuri sana,Kijana huyu ana roho mbaya sana,0,"{
  ""Explanation"": ""The phrase 'roho ya dhahabu' implies a positive attribute, comparing the person's spirit to something valuable and precious like gold."",
  ""Answer"": 0
}",0,,1
Kijana huyo ana roho ya kutu,Kijana huyu ana roho nzuri sana,Kijana huyu ana roho mbaya sana,1,"{
	""answer"": 1
} 

Explanation: The metaphor ""roho ya kutu"" typically represents a negative connotation, implying that the person has a bad or corrupt spirit. Therefore, the closest meaning to the metaphor is ""Kijana huyu ana roho mbaya sana.""",1,,1
Maisha yake ni kama dira,Maisha yake yana muelekeo,Maisha yake hayana muelekeo,0,"{
  ""answer"": 0
} 

Explanation: The metaphor compares ""Maisha yake"" to a compass, which implies that his life has direction and purpose. Option 0) Maisha yake yana muelekeo, aligns with this interpretation.",0,,1
Maisha yake ni kama kuku akiyekatwa kichwa,Maisha yake yana muelekeo,Maisha yake hayana muelekeo,1,"{
  ""answer"": 1
} 

In this metaphor, ""Maisha yake ni kama kuku akiyekatwa kichwa,"" the closer meaning is Option 1) Maisha yake hayana muelekeo (His life is directionless). Just like a chicken without a head is lost and directionless, this metaphor is implying that the person's life lacks direction and purpose.",1,,1
Mwendo wake ni mithili ya twiga,Mwendo wake ni wa maringo,Mwendo wake si wa maringo,0,"{
  ""answer"": 1
}

Explanation: Twiga ni mnyama anayesifika kwa mwendo wake wa grasi na utulivu. Hivyo, mwendo wa twiga ni wa utulivu na si wa maringo. Option 1) ""Mwendo wake si wa maringo"" is the closest meaning to the metaphor.",1,,0
Mwendo wake ni wa bata,Mwendo wake ni wa maringo,Mwendo wake si wa maringo,1,"{
  ""answer"": 1
}

Explanation: In this metaphor, comparing one's movement to that of a duck (bata) suggests a slower or clumsy motion rather than one that is showy or filled with pride. Option 1) ""Mwendo wake si wa maringo"" translates to ""His movement is not full of pride,"" which aligns more closely with the metaphor.",1,,1
Wema ni hazina,Ukitendea watu mema yatakurudia,Ukitendea watu mema hayatakurudia,0,"{
  ""question"": ""Wema ni hazina"",
  ""options"": [
    {
      ""option0"": ""Ukitendea watu mema yatakurudia"",
      ""option1"": ""Ukitendea watu mema hayatakurudia""
    }
  ],
  ""explanation"": ""The metaphor 'Wema ni hazina' implies that kindness is a treasure, suggesting that if you treat people well (option 0), the kindness will be returned to you like a treasure."",
  ""answer"": 0
}",0,,1
Wema sio kitenesi,Ukitendea watu mema yatakurudia,Ukitendea watu mema hayatakurudia,1,"{
  ""question"": ""Wema sio kitenesi"",
  ""options"": {
    ""0"": ""Ukitendea watu mema yatakurudia"",
    ""1"": ""Ukitendea watu mema hayatakurudia""
  },
  ""answer"": 1
} 

Explanation: The metaphor ""Wema sio kitenesi"" translates to ""Goodness is not a boomerang."" This implies that when you do good deeds, they may not necessarily come back to you in the same way. Option 1 captures this meaning as it states that doing good deeds will not necessarily result in receiving good deeds in return.",1,,1
Macho yake yalikua kama mto wkati wa masika.,Alitokwa na machozi mengi ya uchungu,Hakutokwa na machozi mengi ya uchungu,0,"{
  ""answer"": 0
}

Explanation: The metaphor ""Macho yake yalikua kama mto wakati wa masika"" compares the tears to a river during the rainy season, which implies that there were many tears of sorrow flowing. Option 0) Alitokwa na machozi mengi ya uchungu (He shed many tears of sorrow) is the closest meaning to the metaphor.",0,,1
Macho yake yalikua kama mto wkati wa kiangazi.,Alitokwa na machozi mengi ya uchungu,Hakutokwa na machozi mengi ya uchungu,1,"{
  ""answer"": 0,
  ""explanation"": ""The phrase 'Macho yake yalikua kama mto wakati wa kiangazi' is comparing the person's tears to a river in the dry season, indicating that they were crying a lot and feeling a lot of pain. Option 0) Alitokwa na machozi mengi ya uchungu (He was shedding many tears of pain) is the closest meaning to the metaphor.""
}",0,,0
Alihisi ngoma kifuani kwake,Mapigo yake ya moyo yalienda kwa kasi mno,Mapingo yake ya moyo yalienda taratibu,0,"{
  ""Explanation"": ""The metaphor is comparing the beating of a drum in someone's chest to the rapid heartbeat, symbolizing excitement or nervousness."",
  ""Answer"": 0
}",0,,1
Alihisi kifua chake kimeganda kama barafu,Mapigo yake ya moyo yalienda kwa kasi mno,Mapingo yake ya moyo yalienda taratibu,1,"{
  ""answer"": 0,
  ""explanation"": ""In this metaphor, the comparison is made between the hardened chest and ice, indicating that the heartbeats are fast and rigid, not slow and calm.""
}",0,,0
Alipora mkoba wangu na kutimua vumbi,Alipora mkoba wangu na kukimbia,Alipora mkoba wangu na kuanza kutembea taratibu,0,"{
  ""answer"": 0
}

Explanation: The metaphor ""Alipora mkoba wangu na kutimua vumbi"" translates to ""He stole my purse and kicked up dust."" In this context, ""kutimua vumbi"" is used to emphasize a quick and speedy departure. Option 0) ""Alipora mkoba wangu na kukimbia"" aligns more closely with this meaning as it also signifies a swift escape after committing the theft.",0,,1
Alipora mkoba wangu na kutembea kama konokono,Alipora mkoba wangu na kukimbia,Alipora mkoba wangu na kuanza kutembea taratibu,1,"{
  ""explanation"": ""The metaphor compares the thief stealing the wallet to a snail moving slowly like a snail."",
  ""answer"": 1
}",1,,1
Walibishana hadi wakashikana mashati,Walibishana hadi wakapigana,Walibishana lakini hawakupigana,0,"{
  ""answer"": 1,
  ""explanation"": ""The phrase 'Walibishana hadi wakashikana mashati' metaphorically means that they were arguing until they physically held onto each other's shirts, implying a heated argument or confrontation that did not necessarily result in a physical fight. Option 1) 'Walibishana lakini hawakupigana' captures this meaning more accurately, as it conveys the idea that they were arguing but did not resort to fighting.""
}",1,,0
Walibishana kitakatifu,Walibishana hadi wakapigana,Walibishana lakini hawakupigana,1,"{
  ""answer"": 1
} 

The metaphor ""Walibishana kitakatifu"" means they had a disagreement or argument, but they did not physically fight each other. Option 1, ""Walibishana lakini hawakupigana,"" closely represents this meaning.",1,,1
Upele humuota asiye na kucha,Bahati  hukumkuta asiye na uwezo wa kuitumia,Bahati humkuta mwenye uwezo wa kuitumia,0,"{
  ""answer"": 1
}

Explanation: The metaphor ""Upele humuota asiye na kucha"" typically refers to luck finding someone who is capable or ready to handle a situation. Option 1) ""Bahati humkuta mwenye uwezo wa kuitumia"" closely matches this meaning, as it suggests that luck finds someone who is able to utilize it.",1,,0
Jasho humtoka mwenye mwili,Bahati  hukumkuta asiye na uwezo wa kuitumia,Bahati humkuta mwenye uwezo wa kuitumia,1,"{
  ""explanation"": ""The metaphor compares luck to finding someone who is incapable of using it versus finding someone who is capable of using it. The second option is closer to the intended meaning."",
  ""answer"": 1
}",1,,1
"Aisha, funga bakuli lako!","Aisha, funga mdomo wako","Aisha, endelea tu kuongea sana",0,"{
  ""answer"": 0
}

This metaphor ""Aisha, funga bakuli lako!"" is closer in meaning to ""Aisha, funga mdomo wako"" which translates to ""Aisha, close your mouth"". The metaphor is likely referring to someone talking too much or sharing unnecessary information, hence the need to ""close your mouth"". Therefore, the correct option is 0.",0,,1
"Aisha, endelea tu kupiga mdomo","Aisha, funga mdomo wako","Aisha, endelea tu kuongea sana",1,"{
  ""answer"": 0
} 

The metaphor ""Aisha, endelea tu kupiga mdomo"" is closer in meaning to ""Aisha, endelea tu kuongea sana"" as both phrases imply that Aisha should continue talking. Option 1 reflects the intended meaning, so the answer is 1.",0,,0
Hakuna marefu yasiyokuwa na ncha,Hakuna jambo lisilokua na mwisho,Kila jambo lina mwisho,0,"{
  ""answer"": 1,
  ""explanation"": ""The phrase 'Hakuna marefu yasiyokuwa na ncha' translates to 'There is no tall thing without an end'. This indicates that everything has an end, making the closest meaning 'Kila jambo lina mwisho' which translates to 'Everything has an end'.""
}",1,,0
Zimwi likujualo halikuli likakwisha,Hakuna jambo lisilokua na mwisho,Hakuna jambo lenye mwisho,1,"{
  ""Question"": ""Zimwi likujualo halikuli likakwisha?"",
  ""Option"": 1,
  ""Explanation"": ""This metaphor is pointing towards the idea that there are no permanent situations, and things eventually come to an end. The option 'Hakuna jambo lenye mwisho' captures this sense of impermanence and change.""
}",1,,1
Hassani hufanya mambo yake kama kobe,Hassani hufanya mambo yake taratibu,Hassani hufanya mambo yake kwa haraka,0,"{
	""Explanation"": ""Turtles are known to move slowly and steadily, so the metaphor implies that Hassani does things slowly and steadily as well."",
	""Answer"": 0
}",0,,1
