Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
Òkèlè ẹ̀bà mẹ́ẹ̀ẹ́dọ́gbọ̀n ni ọmọ náà jẹ lánàá,Ọmọ náà jẹ oúnjẹ púpọ̀,Ọmọ náà kò jẹ oúnjẹ púpọ̀,0,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Òkèlè ẹ̀bà mẹ́ẹ̀ẹ́dọ́gbọ̀n ni ọmọ náà jẹ lánàá"" suggests that the child is very tall, which is closer to option 0) Ọmọ náà jẹ oúnjẹ púpọ̀ (The child eats a lot), as eating a lot can contribute to height gain. Option 1) Ọmọ náà kò jẹ oúnjẹ púpọ̀ (The child does",0,,1
Òkèlè ẹ̀bà kan ni ọmọ náà jẹ lánàá,Ọmọ náà jẹ oúnjẹ púpọ̀,Ọmọ náà kò jẹ oúnjẹ púpọ̀,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Òkèlè ẹ̀bà kan ni ọmọ náà jẹ lánàá"" compares the child to a small-sized king, implying that the child is well-fed and pampered like royalty. Option 0) ""Ọmọ náà jẹ oúnjẹ púpọ̀"" translates to ""The child eats a lot of food,"" which aligns with the idea of being well-fed and pampered like a king. Therefore, option 0 is the closest meaning to the metaphor.",0,,0
Ó burú bí i àjẹ́ apọmọjẹ,Ó máa ń rẹ́rìn-ín,Ó níkà gan,1,"{
  ""answer"": 1
} 

The metaphor compares the quickness of a hungry dog catching a child to someone who is always swift in their actions or decisions. Option 1) ""Ó níkà gan"" meaning ""rapid or quick"" is the closest meaning to the metaphor.",1,,1
Ó burú bí i ọlọ́kàn rere,Ó máa ń rẹ́rìn-ín,Ó níkà gan,0,"{
  ""answer"": 0
}

Explanation: The metaphor ""Ó burú bí i ọlọ́kàn rere"" can be likened to something that is well-centered and balanced, which aligns more closely with the option ""Ó máa ń rẹ́rìn-ín"" meaning it will stand firm and not wobble.",0,,1
Òrùn náà ń fẹyín síta bí i ọmọ jòjòló,Ilẹ̀ mọ́ kedere,Òkùnkún bolẹ̀ kan.,0,"{
  ""answer"": 0
} 

This metaphor can be interpreted as comparing the brightness of the morning sun to a child's laughter, emphasizing joy and brightness. Option 0) Ilẹ̀ mọ́ kedere, meaning ""the earth is full of joy,"" is a closer match to this meaning compared to option 1) Òkùnkún bolẹ̀ kan, meaning ""a dark cloud.""",0,,1
Òrùn náà kì í tan rárá,Ilẹ̀ mọ́ kedere,Òkùnkún bolẹ̀ kan.,1,"{
  ""answer"": 1
}

Explanation: The metaphor ""Òrùn náà kì í tan rárá"" translates to ""The morning never stays dark"". This implies that darkness fades away in the morning, which closely relates to option 1) Òkùnkún bolẹ̀ kan (a single dark cloud). Option 0) Ilẹ̀ mọ́ kedere (the ground is still wet) does not capture the essence of the metaphor as effectively as option 1.",1,,1
Ọpọlọ Tàlàbí dọ́ta bí i ọmọ òmùgọ̀ tí wọ́n rán láta tó lo ra Ọsàn,Orí Tàlàbí pé púpọ̀,Orí Tàlàbí kò pé rárá,1,"{
  ""answer"": 1
}

Explanation: The metaphor compares the amount of data to a child carrying a large load to go fetch water. The closest meaning is option 1) Orí Tàlàbí kò pé rárá, which means ""The child's head is not empty"". This implies that there is a lot of information or data being carried, similar to the amount of water a child is fetching.",1,,1
Ọpọlọ Tàlàbí ṣiṣẹ́ pépé bí i ọmọ tó mọ iṣẹ́ jẹ́,Orí Tàlàbí pé púpọ̀,Orí Tàlàbí kò pé rárá,0,"{
  ""answer"": 0
}

Explanation: The metaphor compares someone's head to a hot pepper, indicating that the person is very intelligent or sharp. Option 0) Orí Tàlàbí pé púpọ̀ (The head of the pepper is very intense) is the closest meaning as it emphasizes the person's intelligence. Option 1) Orí Tàlàbí kò pé rárá (The head of the pepper is not scarce) does not convey the same idea of intelligence.",0,,1
Ọmọbìnrin náà rí bí i ẹyẹ ọ̀kín,Ọmọbìnrin náà rẹwà,Ọmọbìnrin náà burẹ́wà,0,"{
  ""answer"": 1
} 

In this metaphor, ""Ọmọbìnrin náà rí bí i ẹyẹ ọ̀kín,"" the comparison is being made between the woman and a bird. The closest meaning would be Option 1) Ọmọbìnrin náà burẹ́wà which translates to ""The woman is beautiful."" This meaning implies that the woman is as graceful and attractive as a beautiful bird.",1,,0
Ọmọbìnrin náà rí bí i àkìtàn,Ọmọbìnrin náà rẹwà,Ọmọbìnrin náà burẹ́wà,1,"{
  ""answer"": 1
}

Explanation: The metaphor describes the woman as beautiful, which correlates more closely with the meaning of ""Ọmọbìnrin náà burẹ́wà"" (This woman is beautiful) rather than ""Ọmọbìnrin náà rẹwà"" (This woman is ugly).",1,,1
Àwọn ará ìlú ri pé Ẹkùn ni Ṣẹ́gun,Ṣẹ́gun ní ìgboyà,Ọ̀lẹ ni Ṣẹ́gun,0,"{
  ""answer"": 1
}

Explanation: The metaphor means that people in the town see Ṣẹ́gun as a mighty warrior or fierce hunter (Ẹkùn). The closer meaning is that Ṣẹ́gun is the hunter (Ọ̀lẹ) in this context.",1,,0
