Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
कालिदास भारत के शेख्चिली हैं।,कालिदास मुर्ख हैं।,कालिदास बुद्धिमान हैं।,0,"{
  ""answer"": 1
} 

The metaphor compares Kalidas to a peacock, known for its wisdom and intelligence. Option 1) ""कालिदास बुद्धिमान हैं।"" reflects this comparison accurately.",1,,0
जीवन एक सपना है।,जीवन हकीकत है।,जीवन एक मिथ्या है।,1,"{
  ""Explanation"": ""Here, the metaphor comparing life to a dream signifies the fleeting and transient nature of life, similar to how a dream is temporary and intangible."",
  ""Answer"": 0
}",0,,0
जीवन काँटों की सेज नहीं है।,जीवन में खुशिओं भी होती हैं।,जीवन में दुःख भी आते हैं।,0,"{
  ""answer"": 1
} 

Explanation: In this metaphor, the phrase ""जीवन काँटों की सेज नहीं है।"" implies that life is not just filled with happiness and joy (जीवन में खुशिओं भी होती हैं), but also with pain and suffering (जीवन में दुःख भी आते हैं). The metaphor highlights the presence of difficulties and challenges in life, making option 1 the closest in meaning.",1,,0
वह आजकल आलस्य में व्यस्त है।,वह बहुत बढ़िया काम कर रहा है।,वह काम चोरी कर रहा है।,1,"{
  ""answer"": 0
}

Explanation: The metaphor here is ""आलस्य में व्यस्त है"" which means being busy in laziness. The closest meaning is that the person is not actually busy with important work, but rather being lazy. So, option 0) वह बहुत बढ़िया काम कर रहा है। is the correct interpretation.",0,,0
यह एक खुली किताब है।,"यह नेक इंसान हैं, यह सब जानते हैं।",यह नेक हैं या नहीं इसके बारे में कोई नहीं जनता।,0,"{
  ""Explanation"": ""The phrase 'खुली किताब है' is a metaphorical expression which means that something is open to interpretation or understanding, just like an open book with its content exposed and accessible. It does not directly imply that the subject is inherently good or knowledgeable."",
  ""Answer"": 1
}",1,,0
जीवन मीठा गुलकन्द है।,जीवन अच्छा है।,जीवन बुरा है।,1,"{
	""Explanation"": ""गुलकन्द स्वादिष्ट होता है जिससे जीवन की मिठास को दर्शाने के लिए इस्तेमाल किया जाता है। इसलिए यह महसूस कराता है कि जीवन मीठा है।"",
	""Answer"": 0
}",0,,0
वो स्केल की तरह सीधा है।,वो मासूम है।,वो चालक है।,0,"{
  ""answer"": 1
} 

Explanation: The metaphor comparing someone to a scale being straight implies that the person is honest, fair, and balanced in their actions, similar to how a scale needs to be straight to give accurate measurements. Therefore, the closest meaning is ""वो चालक है।"" (They are honest/fair).",1,,0
जीवन एक गाँव की गली है।,जीवन बहुत छोटा होता है।,जीवन बहुत लम्बा होता है।,0,"{
  ""Explanation"": ""In this metaphor, life is compared to a village lane, implying that life is full of twists and turns, obstacles, and surprises just like a narrow lane in a village."",
  ""Answer"": 1
}",1,,0
उसकी नज़रें चिड़िया की तरह हैं।,उसकी सोच छोटी है।,वह दूर की सोचता है।,0,"{
  ""answer"": 1,
  ""explanation"": ""The metaphor compares the person's vision to that of a bird, which typically sees far away. So, the closest meaning would be 'वह दूर की सोचता है।'""
}",1,,0
उसकी काया मैदान जैसी है।,उसका शरीर छोटा है।,उसका शरीर विशाल है।,0,"{
  ""answer"": 1
}

Explanation: The metaphor compares the person's body to a battlefield, implying that the person is strong and resilient. Therefore, the closest meaning to the metaphor is ""उसका शरीर विशाल है।"" (Option 1).",1,,0
गाय की तरह मजबूत है।,वह कोमल है।,वह सख्त है।,0,"{
  ""answer"": 1,
  ""explanation"": ""In the metaphor 'गाय की तरह मजबूत है', the comparison is being made between strength and resilience similar to that of a cow, which is known for being sturdy and strong. Therefore, the closest meaning to the metaphor is 'वह सख्त है' which means 'she is strong'.""
}",1,,0
वह आदमी ठंडी बर्फ जैसा व्यवहार कर रहा था।,वह आदमी बहुत मस्त था।,वह आदमी बहुत गुस्सैल था।,0,"{
  ""answer"": 1
} 

Explanation: The metaphor compares the man's behavior to cold snow, which signifies that he was being very angry or cold in his behavior. Option 1 reflects this meaning accurately.",1,,0
रामदीन की चेहरा कोयले की तरह है।,रामदीन बहुत कला है।,रामदीन बहुत गोरा है।,0,"{
  ""Explanation"": ""The metaphor is comparing Ramdeen's face to that of a coal, implying that Ramdeen's face is black/dark. So, the meaning closest to the metaphor is 'Ramdeen is very dark/black.'"",
  ""Answer"": 1
}",1,,0
उसका मन रेत की तरह ठंडा था।,वह बहुत शांत सुभाव का था।,वह थोड़ी देर के लिए शांत था।,1,"{
  ""Explanation"": ""The metaphor is comparing the person's mind to sand which is cold, indicating that the person was calm and composed."",
  ""Answer"": 0
}",0,,0
विराट कछुए की तरह चुस्त है।,विराट सुस्त है।,विराट तेज है।,0,"{
  ""answer"": 1
} 

Explanation: The metaphor compares Virat to a quick-moving tortoise, implying that Virat is fast. Therefore, the closest meaning is ""विराट तेज है।"" (Virat is fast).",1,,0
महेश दुकान बकरी की तरह चलाता है।,महेश शराफत से दूकान चलाता है।,महेश धोकेबाजी से दूकान चलाता है।,0,"{
  ""Explanation"": ""Comparing Mahesh running his shop to a goat implies mischief or trickery."",
  ""Answer"": 1
}",1,,0
उसके चेहरे पर अभिव्यक्ति सूरज की तरह थी।,उसके चहरे पर गुस्सा साफ नज़र आ रहा था।,उसके चहरे पर धैर्य साफ़ नज़र आ रहा था।,0,"{
  ""answer"": 1
} 

The metaphor ""उसके चेहरे पर अभिव्यक्ति सूरज की तरह थी।"" implies that the expression on his face was like the sun, which typically represents patience, serenity, and calmness. Therefore, the option closest in meaning is ""उसके चहरे पर धैर्य साफ़ नज़र आ रहा था।"" (option 1).",1,,0
मेरी पत्नी सुबह के समय घोंघे की तरह व्यस्त रहती है।,मेरी पत्नी काम में बहुत आलसी है।,मेरी पत्नी काम में बहुत तेज है।,0,"{
  ""Explanation"": ""The metaphor compares the busyness of the wife in the morning to the buzzing activity of a bee, indicating that she is very active and energetic."",
  ""Answer"": 1
}",1,,0
नौकरानी ने हॉल काली चादर सा साफ है।,नौकरानी ने सब अच्छे से साफ़ किया।,नौकरानी ने सब अच्छे से साफ़ नहीं किया।,1,"{
  ""Explanation"": ""The metaphor compares the cleanliness of the hall with a white sheet, implying that it is thoroughly clean."",
  ""Answer"": 0
}",0,,0
राकेश की दिमाग पत्थर सा तेज है।,राकेश का दिम्माग बहुत धीमा है।,राकेश का दिम्माग बहुत तेज़ है।,0,"{
  ""Explanation"": ""The metaphor compares Rakesh's brain to a stone, indicating that it is very sharp and quick, like a polished stone."",
  ""Answer"": 1
}",1,,0
हार्दिक उगते सूरज की तरह ताजा है।,वह बहुत चुस्त है।,वह बहुत थका हुआ है।,1,"{
  ""Explanation"": ""The metaphor compares someone to the rising sun, which signifies freshness and energy."",
  ""Answer"": 0
}",0,,0
लेक्चर लेते समय वह बोर्ड की तरह खड़ा था।,वह विश्वास से भरा हुआ था।,वह बहुत घबराया हुआ था।,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the person standing while taking a lecture to a board. A board is filled with information and knowledge, so the closest meaning would be that the person was filled with confidence, like a board filled with information. Thus, option 0) वह विश्वास से भरा हुआ था। is the correct answer.",0,,0
पोस्टिंग की खबर सुन वह पागल सांड की तरह नाचने लगा।,पोस्टिंग की खबर से वो बहुत दुखी हुआ।,पोस्टिंग की खबर से वो बहुत खुश हुआ।,0,"{
  ""Explanation"": ""In this metaphor, the person is dancing like a crazy bull, which suggests excitement and happiness rather than sadness."",
  ""Answer"": 1
}",1,,0
उसके द्वारा दिया गया प्रोत्साहन एक हवा के झोंके के समान था। ,उसके द्वारा दिया प्रोत्साहन बहुत असरदार था। ,उसके द्वारा दिया प्रोत्साहन कुछ असरदार नहीं था। ,1,"{
  ""Startphrase"": ""उसके द्वारा दिया गया प्रोत्साहन एक हवा के झोंके के समान था।"",
  ""Options"": {
    ""0"": ""उसके द्वारा दिया प्रोत्साहन बहुत असरदार था।"",
    ""1"": ""उसके द्वारा दिया प्रोत्साह",0,NG,0
किशोर एक मेमने की तरह है।,किशोर बहुत मासूम है।,किशोर बहुत चलाक है।,0,"{
  ""answer"": 1
} 

Explanation: The metaphor compares the teenager to a meme, which is usually associated with being clever, witty, and humorous. Hence, the closest meaning would be ""किशोर बहुत चलाक है।"" (option 1).",1,,0
वह एक आग की तरह चमकीली लगती है!,वह बहुत कठोर दिल की लगती है।,वह बहुत कोमल दिल की लगती है।,0,"{
  ""Explanation"": ""The metaphor compares the person to a shiny fire, implying that they are full of energy, attractive, and vibrant."",
  ""Answer"": 1
}",1,,0
वह बॉक्सर बच्चे की तरह मजबूत है।,वह बॉक्सर कमजोर है।,वह बॉक्सर बहुत ताकतवर है।,0,"{
  ""answer"": 1
} 

The correct option is 1) वह बॉक्सर बहुत ताकतवर है। because the metaphor compares the boxer to a strong child, implying that the boxer is very powerful and not weak.",1,,0
साहूकार का दिल ख़रगोश के चमड़े की तरह है।,साहूकार बहुत निर्दयी है।,साहूकार बहुत दयालु है।,1,"{
  ""Explanation"": ""Here, the metaphor compares the heart of a moneylender to that of a rabbit's skin, implying that the moneylender is hard-hearted."",
  ""Answer"": 0
}",0,,0
राज साँप की तरह सीधा है।,राज बहुत टेढ़ा आदमी है।,राज बहुत सीधा आदमी है।,0,"{
  ""answer"": 1
}

The metaphor comparing Raj to a snake implies that Raj is very cunning and not straightforward. Therefore, the meaning closest to the metaphor is option 0) राज बहुत टेढ़ा आदमी है।",1,,0
