Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
Nyalinya seperti anak kecil yang tersesat.,Dia penakut.,Dia pemberani.,0,"{
  ""answer"": 1
}",1,,0
Suara Sari dapat mengalahkan suara ombak.,Suara Sari sangat kencang.,Suara Sari sangat pelan.,0,"{
  ""answer"": 1
} 

In this metaphor, ""Suara Sari dapat mengalahkan suara ombak"" means that Suara Sari is very soft and soothing, like the sound of gentle waves. This is similar to the meaning of option 1) Suara Sari sangat pelan.",1,,0
Pekerjaan ayah semudah memasukkan benang ke dalam jarum.,Pekerjaan ayah sangat mudah.,Pekerjaan ayah sangat sulit.,1,"{
  ""Explanation"": ""The metaphor compares the ease of the father's work to threading a needle, implying that his job is very easy."",
  ""Answer"": 0
}",0,,0
Siswa SD itu membawa tas layaknya orang yang akan pergi ke mal.,Tasnya besar.,Tasnya kecil.,1,"{
  ""answer"": 0
} 

The metaphor compares the elementary school student's bag to someone going to the mall, implying that the bag is big and filled with items just like how someone would bring a big bag when going to the mall for shopping. Hence, the correct option is 0) Tasnya besar.",0,,0
Dia melahap makanan seolah habis menghadiri tiga kondangan.,Dia sangat lapar.,Dia sangat kenyang.,1,"{
  ""answer"": 0
} 

The metaphor describes someone eating as if they had been to three weddings, which implies that they are very hungry and eating a lot. Therefore, the closest meaning is option 0) Dia sangat lapar.",0,,0
Dia menjalani hidup bak singa di kebun binatang.,Hidupnya bebas.,Hidupnya terkekang.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""menjalani hidup bak singa di kebun binatang"" suggests that the person's life is like a lion living in a zoo. Lions in the zoo are confined and their freedom is restricted, therefore the closest meaning would be ""Hidupnya terkekang"" (Option 1).",0,,0
Adik menginginkan rambut seperti dora.,Adik ingin memiliki rambut pendek.,Adik ingin memiliki rambut panjang.,0,"{
  ""answer"": 1
}

Explanation: Dora merupakan karakter fiksi dengan rambut panjang yang terkenal. Jadi, jika adik menginginkan rambut seperti dora, bisa diartikan bahwa adik ingin memiliki rambut panjang.",1,,0
Curhatannya sepanjang iklan badut di jalanan.,Ceritanya panjang.,Ceritanya pendek.,1,"{
  ""Explanation"": ""The metaphor compares the length of someone's complaints with the length of a street clown's advertising, implying that the complaints are long-winded."",
  ""Answer"": 0
}",0,,0
Tulisan tangannya bak tulisan dokter.,Tulisannya berantakan.,Tulisannya rapi.,0,"{
  ""answer"": 1
} 

In this metaphor, ""Tulisan tangannya bak tulisan dokter"" means the handwriting is neat and clear like a doctor's handwriting, which is notoriously known for being difficult to read. Therefore, the closest meaning would be option 1) Tulisannya rapi (neat).",1,,0
Memintanya membereskan kamar sama seperti berbincang dengan google assistant.,Perintah itu mustahil dilakukan.,Perintah itu selalu dilakukan.,1,"{
  ""answer"": 0
}",0,,0
Dia menyelesaikan pekerjaannya secepat mengurus paspor yang hilang.,Dia bekerja dengan cekatan.,Dia bekerja dengan lambat.,1,"{
  ""answer"": 0
}

The metaphor in the startphrase compares the speed of completing work to the quickness of handling a lost passport, which typically requires efficiency and quick action. Therefore, the closest meaning is option 0) Dia bekerja dengan cekatan (He works quickly and efficiently).",0,,0
"Saat aku terpuruk, dia berlagak layaknya fans yang mendukung idolanya.",Dia peduli.,Dia tidak peduli.,0,"{
  ""answer"": 1
}",1,,0
"Menurutnya, merantau adalah perang yang tak berujung.","Menurutnya, merantau itu mendebarkan.","Menurutnya, merantau itu menyesakkan.",1,"{
  ""answer"": 0
}  

Explanation: In this metaphor, the speaker is comparing ""merantau"" to an endless war. War is associated with excitement, challenges, and adventures, much like the experience of ""merantau."" Option 0) ""Menurutnya, merantau itu mendebarkan."" is the closest meaning as it captures the sense of excitement and exhilaration implied in the metaphor.",0,,0
Rara berpakaian seolah akan mengambil paket di depan rumah.,Rara tampak rapi.,Rara tampak lusuh.,1,"{
  ""Explanation"": ""The metaphor compares Rara's appearance to someone who is about to pick up a package, emphasizing the neat and put-together look."",
  ""Answer"": 0
}",0,,0
