Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
Nyawang esemmu sing rupane kaya nyruput ampas kopi,Nyawang esemmu sing manis,Nyawang esemmu sing pahit,1,"{
	""answer"": 0
}

Explanation: In this metaphor, comparing seeing your smile to drinking coffee grounds implies that seeing your smile is sweet like sugar rather than bitter like coffee grounds. Therefore, the closest meaning would be Option 0) Nyawang esemmu sing manis (seeing your smile is sweet).",0,,0
Lakmu mlaku jan kaya diuber maling,Lakmu mlaku cepet,Lakmu mlaku suwi,0,"{
  ""question"": ""Lakmu mlaku jan kaya diuber maling"",
  ""option0"": ""Lakmu mlaku cepet"",
  ""option1"": ""Lakmu mlaku suwi"",
  ""explanation"": ""The metaphor implies that 'Lakmu' is walking cautiously and not in a hurry like someone being chased by a thief, therefore 'Lakmu mlaku suwi' (Lakmu walks slowly) is the closest meaning."",
  ""answer"": 1
}",1,,0
Lakmu mlaku jan kaya nyeret bata,Lakmu mlaku cepet,Lakmu mlaku suwi,1,"{
  ""Question"": ""Lakmu mlaku jan kaya nyeret bata"",
  ""Option"": 0,
  ""Explanation"": ""This metaphor suggests that the walk is slow and difficult, akin to dragging a heavy rock. Option 0) Lakmu mlaku cepet (fast) is the opposite of slow and matches the metaphor""
}",0,,0
Ngawiti dina senen iku seabot nyunggi batako,Ngawiti dina senen iku abot banget,Ngawiti dina senen iku enteng,0,"{
  ""answer"": 1
}

Explanation: The metaphor is comparing a smile to lifting a heavy load. Option 1, ""Ngawiti dina senen iku enteng"", is closer to this meaning as it implies that smiling is light and easy. Option 0, ""Ngawiti dina senen iku abot banget"", does not capture the essence of the metaphor.",1,,0
Lekmu numpak mobil kaya alap-alap,Lekmu numpak mobil alon,Lekmu numpak mobil cepet,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Lekmu numpak mobil kaya alap-alap"" compares the action of riding a car to riding on a slow-paced vehicle like ""alon,"" rather than a speedy one like ""cepet"". This indicates that the intended meaning is Option 0) Lekmu numpak mobil alon, which represents a slow-paced ride.",0,,0
Lungguh ning kursi iku rasane kaya watu,Lungguh ning kursi iku rasane empuk,Lungguh ning kursi iku rasane atos,1,"{
  ""answer"": 0
} 

Explanation: In this metaphor, the feeling of the chair being like a person is compared to either being soft (empuk) or hard (atos). Since a person is usually associated with being soft and comfortable, the closest meaning to ""Lungguh ning kursi iku rasane kaya watu"" would be option 0) Lungguh ning kursi iku rasane empuk.",0,,0
Udane maeng isuk kaya kletik,Udane maeng isuk deres,Udane maeng isuk gerimis,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Udane maeng isuk kaya kletik"" translates to ""The rain falls gently like pearls,"" where ""kletik"" refers to the sound of small objects falling lightly, which is similar to pearls dropping. Therefore, the closest option is ""Udane maeng isuk deres"" where ""deres"" means heavy rain, as it contrasts with the gentle and soft description of rain in the metaphor.",0,,0
Bar sepedahan tekan nggunung boyok rasane kaya dilindes trek,Bar sepedahan tekan nggunung boyok rasane keju kabeh,Bar sepedahan tekan nggunung boyok rasane penak,0,"{
  ""question"": ""Bar sepedahan tekan nggunung boyok rasane kaya dilindes trek"",
  ""option_chosen"": 1,
  ""explanation"": ""The metaphor uses the experience of riding a bike up a mountain to describe a challenging situation. 'Rasane kaya dilindes trek' implies a sense of struggling or difficulty in moving forward, similar to facing obstacles on a challenging trail."",
  ""output"": 1
}",1,,0
"Ra umum, duwurmen adike Anas sak wit ceplukan",Adike Anas duwur banget,Adike Anas cendek,1,"{
  ""answer"": 0
}

Explanation: The metaphor comparing someone to a banana plant that is very tall and high suggests that they are very intelligent or accomplished. Option 0) Adike Anas duwur banget means ""Adike Anas is very tall"", which in this context would translate to ""Adike Anas is very accomplished"".",0,,0
Mas Edi lak mlayu jan kaya semut,Mas Edi lak mlayu cepet,Mas Edi lak mlayu rindik,1,"{
  ""answer"": 0
}

Explanation: The metaphor is comparing Mas Edi to an ant, emphasizing his quick pace. Therefore, the option ""Mas Edi lak mlayu cepet"" is the closest meaning to the metaphor.",0,,0
Polahe bocah cilik kuwi kaya kitiran,Bocah cilik kuwi ora isa meneng,Bocah cilik kuwi tura-turu ae,0,"{
  ""question"": ""Polahe bocah cilik kuwi kaya kitiran"",
  ""option0"": ""Bocah cilik kuwi ora isa meneng"",
  ""option1"": ""Bocah cilik kuwi tura-turu ae"",
  ""explanation"": ""The metaphor compares the child to a growing sprout, implying that they are like a seedling that is developing and reaching new heights. Option 1 'Bocah cilik kuwi tura-turu ae' is the closest meaning as it suggests that the child is constantly growing and evolving."",
  ""answer"": 1
}",1,,0
Pipine Rida aluse kaya dalan makadhaman,Pipine Rida alus,Pipine Rida kasar kakehan kukul,1,"{
  ""question"": ""Pipine Rida aluse kaya dalan makadhaman"",
  ""options"": {
    ""0"": ""Pipine Rida alus"",
    ""1"": ""Pipine Rida kasar kakehan kukul""
  },
  ""answer"": 0
} 

Explanation: The phrase ""Pipine Rida aluse kaya dalan makadhaman"" talks about journey or path, which is often associated with progress, growth, or development. In this metaphor, ""aluse"" refers to the starting point or foundation. Therefore, the correct option is 0) Pipine Rida alus.",0,,0
Nyawang dedege Kartolo kok kaya kendel ngringkel,Kartolo kuwi wani,Kartolo kuwi weden,0,"{
  ""answer"": 1
} 

In Javanese culture, ""kendel ngringkel"" refers to something soft and squishy. In this metaphor, the speaker is comparing Kartolo to ""kendel ngringkel,"" implying that Kartolo is naive and impressionable (""kok kaya kendel ngringkel""). Of the two options, ""Kartolo kuwi weden"" means ""Kartolo is naive,"" making it the closest meaning to the metaphor.",1,,0
Nyawang dedege Kartolo kok kaya dhadang ora godak,Kartolo kuwi wani,Kartolo kuwi weden,1,"{
  ""question"": ""Nyawang dedege Kartolo kok kaya dhadang ora godak"",
  ""option0"": ""Kartolo kuwi wani"",
  ""option1"": ""Kartolo kuwi weden"",
  ""explanation"": ""In this metaphor, Kartolo is being compared to a shadow that is neither clear nor distinct. This implies that Kartolo is elusive or mysterious, hence closer in meaning to 'Kartolo kuwi wani' (Kartolo is enigmatic or secretive)."",
  ""answer"": 0
}",0,,0
Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan dhuwit,Kahanan omahe Pak Sardi kang lagi susah,Kahanan omahe Pak Sardi kang lagi seneng,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the help provided by Pak Sardi to rain during a drought, indicating that it is greatly appreciated during a difficult time. Option 0) ""Kahanan omahe Pak Sardi kang lagi susah"" is the closest meaning to the metaphor as it represents Pak Sardi helping during a tough or difficult situation.",0,,0
Nek gawe wedang kopi Painem kaya disoki juruh,Nek gawe wedang kopi Painem legi,Nek gawe wedang kopi Painem pahit,0,"{
  ""question"": ""Nek gawe wedang kopi Painem kaya disoki juruh"",
  ""option0"": ""Nek gawe wedang kopi Painem legi"",
  ""option1"": ""Nek gawe wedang kopi Painem pahit"",
  ""explanation"": ""The metaphor compares making coffee to the process of pouring hot water on grass. In this context, 'kaya' (meaning rich) is associated with the drink being strong or flavorful, similar to grass being lush and dense. Therefore, the option 'Nek gawe wedang kopi Painem legi' fits closer to the metaphor, as 'legi' (meaning lush) reinforces the idea of",1,NG,0
Baguse Paijo katulung saka irunge sing kaya irunge semar,Baguse Paijo katulung irunge sing mancung,Baguse Paijo katulung irunge sing pesek,1,"{
  ""Explanation"": ""Paijo is being compared to a strong and wise character like Semar, so the closest meaning would be comparing Paijo to someone with physical attractiveness like Semar, rather than someone with physical unattractiveness."",
  ""Answer"": 0
}",0,,0
Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya blaba uda,Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit,Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman,1,"{
  ""question"": ""Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya blaba uda"",
  ""options"": {
    ""0"": ""Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit"",
    ""1"": ""Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman""
  },
  ""answer"": 0
}

Explanation: In this metaphor, comparing someone refusing to give a donation because they are as rich as a king (kaya blaba uda) to the option ""Pak Hasan ora gelem menehi sumbangan pancen sipate iku med",0,,0
Anggone nyambut gawe Allia kaya banteng ketaton,Anggone nyambut gawe Allia Cepet banget,Anggone nyambut gawe Allia alon banget,0,"{
  ""answer"": 1
}

Explanation: The metaphor compares Anggone nyambut gawe Allia to a bull walking slowly (banget). This implies that the task is being approached with caution and take time to complete, rather than rushing through it quickly. Option 1) Anggone nyambut gawe Allia alon banget is the closest meaning to the metaphor.",1,,0
Anggone nyambut gawe Allia kaya macan luwe,Anggone nyambut gawe Allia Cepet banget,Anggone nyambut gawe Allia alon banget,1,"{
	""Explanation"": ""The metaphor compares Allia to a tiger, emphasizing her strength or fierceness."",
	""Answer"": 0
}",0,,0
Nalika sesrawungan Pak Jemani lan Paiman kaya banyu karo lenga,Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur,Nalika sesrawungan Pak Jemani lan Paiman akur banget,0,"{
	""answer"": 1
}

Explanation: The metaphor ""Nalika sesrawungan Pak Jemani lan Paiman kaya banyu karo lenga"" means that when Pak Jemani and Paiman are together, they are as harmonious as water and oil. Option 1) ""Nalika sesrawungan Pak Jemani lan Paiman akur banget"" closely represents the idea of harmony between Pak Jemani and Paiman, as opposed to option 0) ""Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur"", which suggests they cannot get along.",1,,0
Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit bawang,Kain batik sing dituku menyang pasar klewer tipis banget,Kain batik sing dituku menyang pasar klewer kandel banget,0,"{
  ""answer"": 1
} 

Explanation: The metaphor compares the thickness of the material of the batik cloth to the skin of an onion, emphasizing that it is very thin and delicate. Option 1) Kain batik sing dituku menyang pasar klewer kandel banget, closely reflects this comparison by highlighting the thinness of the batik cloth.",1,,0
Isih esuk kahanane Mbak Marmi kaya ulat manis,Isih esuk khanane mbak Marmi Katon mrengut,Isih esuk khanane mbak Marmi Katon sumeh,1,"{
  ""answer"": 0
} 

The metaphor comparing Mbak Marmi to a sweet caterpillar implies that Mbak Marmi is kind and gentle, similar to how a caterpillar is seen as harmless and delightful. Option 0) ""Isih esuk khanane mbak Marmi Katon mrengut"" means Mbak Marmi smiles warmly, which aligns with the kind and gentle nature implied by the metaphor.",0,,0
Roti donat lek nggawe Narti kaya atose debog,Roti donat lek nggawe Narti empuk banget,Roti donat lek nggawe Narti atos banget,0,"{
  ""answer"": 1
}

Explanation: The metaphor compares the act of making donuts to creating something difficult or challenging, similar to building a tall tower. Therefore, the option that conveys the meaning of something being very challenging or difficult (""atos banget"") is the closest interpretation.",1,,0
Roti donat lek nggawe Narti kaya lemese pikulan,Roti donat lek nggawe Narti empuk banget,Roti donat lek nggawe Narti atos banget,1,"{
  ""response"": 0
}

Explanation: In this metaphor, ""Roti donat lek nggawe Narti kaya lemese pikulan"" is comparing Narti to a soft doughnut, implying that Narti is gentle and kind. Option 0) ""Roti donat lek nggawe Narti empuk banget"" is the closest meaning as it refers to Narti being very soft and gentle.",0,,0
Omahe sing dibangun ambane kaya leng semut,Omahe sing di bangun amba banget,Omahe sing di bangun ciwut,1,"{
  ""Question"": ""Omahe sing dibangun ambane kaya leng semut"",
  ""Option1"": ""Omahe sing di bangun amba banget"",
  ""Option2"": ""Omahe sing di bangun ciwut"",
  ""Explanation"": ""The metaphor 'Omahe sing dibangun ambane kaya leng semut' compares a house that is built high with the diligence of ants. Ants are known for their hard work and unity in building their nest. The option 'Omahe sing di bangun amba banget' reflects the idea of a house being built with great effort and dedication, closely resembling the metaphor."",
  ""Answer"": 0
}",0,,0
