Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
hirup kawas murag bulu bitis.,hirup kawas kakekang,hirup kawas bebas.,1,"{
  ""answer"": 0
} 

This metaphor seems to refer to the feeling of breathing freely and taking in fresh air. The option ""hirup kawas kakekang"" is the closest in meaning, as it implies breathing deeply and feeling refreshed.",0,,0
jadi jalma teh kudu beurat birit.,jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""jadi jalma teh kudu beurat birit"" can be interpreted as ""jadi orang tersebut harus rajin"" which means that the person needs to work hard. Option 0) jadi jalma teh kudu rajin is the closest in meaning to this metaphor.",0,,0
Mamat lumpatna siga kuya.,mamat lumpat siga gancang,mamat lumpat siga laun.,1,"{
  ""Explanation"": ""The metaphor uses the phrase 'mamat lumpatna siga kuya' which means 'the frog jumps quickly'. The question is comparing something to the speed of a frog jumping, so the closest meaning would be option 0) 'mamat lumpat siga gancang' which means 'the frog jumps quickly'"",
  ""Answer"": 0
}",0,,0
hirup teh kudu boga kaditu kadieu.,hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""hirup teh kudu boga kaditu kadieu"" implies having a firm stance or conviction in life, which aligns more closely with the option 0) hirup teh kudu boga pendirian (having principles) rather than option 1) hirup teh kudu boga plin-plan (being indecisive).",0,,0
si amat mah sok ngeduk cikur kedah mitutur,jadi jalma kudu jujur,jadi jalma kudu boong.,0,"{
  ""Explanation"": ""The phrase indicates that someone is pretending to be knowledgeable in a certain subject, but actually lacks understanding."",
  ""Answer"": 1
}",1,,0
si amat mah sok luncat licin.,jadi jalma kudu jujur,jadi jalma kudu boong.,1,"{
  ""answer"": 0
}

Explanation: The phrase ""si amat mah sok luncat licin"" is a metaphor that could mean someone is trying to dance around the truth or be deceitful (boong). Therefore, the closest meaning is ""jadi jalma kudu jujur"" which translates to ""one should be honest.""",0,,0
ceuk ema jadi jalmi teh kedah sing goreng bagug.,ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,1,"{
  ""answer"": 0
}

Explanation: The metaphor comparing someone to tea can mean that the person is warm and friendly (ramah) or cold and unfriendly (judes). In this context, the phrase ""ceuk ema jadi jalmi teh kedah sing goreng bagug."" indicates that the person being described is kind and welcoming, similar to the characteristics of warm tea. Therefore, option 0) ceuk ema jadi jalmi teh kedah ramah is the closest meaning to the metaphor.",0,,0
si eta mah kawas gaang katincak.,si eta mah ngomong wae,si eta mah cicing wae.,1,"{
  ""question"": ""si eta mah kawas gaang katincak."",
  ""option_selected"": 0,
  ""explanation"": ""The metaphor 'si eta mah kawas gaang katincak' is closer in meaning to 'si eta mah ngomong wae' which means 'si eta speaks clearly or straightforwardly'. This is because 'ngomong wae' in Indonesian implies speaking directly or honestly, matching the clarity and directness suggested by the metaphor."",
  ""output"": {
    ""option_index"": 0
  }
}",0,,0
jelema lamun geus kandel kulit bengeut,jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,0,"{
  ""Question"": ""Where Startphrase: jelema lamun geus kandel kulit bengeut"",
  ""Option_Selected"": 1,
  ""Explanation"": ""This metaphor implies that if a person has rough skin, they need to be treated with care, similar to how delicate things need to be handled gently. The second option best captures this meaning, stating that if a person has rough skin, they need to be handled carefully and with gentleness.""
}",1,,0
jelema lamun geus isinan kudu diantepkeun.,jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor is emphasizing the importance of being prepared for a situation. In this case, the phrase ""jelema lamun geus isinan kudu diantepkeun"" translates to ""a person, when it's raining, should be prepared."" The closest meaning is option 0, which states ""a person, when they don't have an umbrella, should be prepared,"" implying the importance of being proactive and ready for unexpected circumstances.",0,,0
