Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
"Penzi lao ni kama moto wa kibatari kwenye upepo""",Wale wanapendana sana,Wale hawapendani sana,1,"{
  ""explanation"": ""The metaphor compares their love to a fire in a windy place, suggesting that their love is passionate and intense."",
  ""answer"": 0
}",0,,0
Wali huu unaladha kama umepikwa bwenini,Chakula ni kitamu,Chakula ni kibaya,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Wali huu unaladha kama umepikwa bwenini"" compares the taste of the food to a meal prepared in a professional setting which implies that the food is delicious. Therefore, the closest meaning is that the food is tasty, which corresponds to option 0.",0,,0
Mtihani ulikuwa kama kipande cha keki,Mtihani ulikuwa rahisi sana,Mtihani ulikua mgumu,0,"{
  ""answer"": 1
}

Explanation: The metaphor comparing the exam to a piece of cake suggests that the exam was easy, as eating a piece of cake is usually an enjoyable and effortless task. Therefore, the closest meaning would be ""Mtihani ulikuwa rahisi sana"" (Option 0).",1,,0
Vijana wataozesha taifa,Vijana ndio watakaoleta maendeleo huko mbeleni,Vijana wataliharibu taifa.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Vijana wataozesha taifa"" can be interpreted as ""Vijana ndio watakaoleta maendeleo huko mbeleni"" which means that the youth will contribute to the development of the nation in the future.",0,,0
Sauti yako ni kama chiriku,Sauti yako ni inanipa faraja na raha niisikiapo,Sauti yako ni kero kwangu,1,"{
  ""answer"": 0
}
Explanation: In this metaphor, comparing someone's voice to the sound of a chirping bird implies that their voice brings comfort and joy when heard, similar to how the sound of a bird chirping can be soothing. Option 0) reflects this idea, while option 1) suggests that the voice is annoying or bothersome, which is not the intended meaning of the metaphor.",0,,0
"Maisha sio mchezo, ni vita",Maisha si marahisi yanahitaji kupambana,Maisha ni marahisi,1,"{
""Question1"": {
""Metaphor"": ""Maisha sio mchezo, ni vita"",
""Option0"": ""Maisha si marahisi yanahitaji kupambana"",
""Option1"": ""Maisha ni marahisi"",
""Answer"": 0
}
} 

Explanation: The metaphor compares life to a battle, implying that life is not easy and requires one to fight in order to succeed. Option 0 reflects this meaning by stating that life is not easy and requires one to fight. Option 1 contradicts the metaphor by suggesting that life is easy, which is not the intended meaning. Therefore, the correct answer is option 0.",0,,0
Awamu hii kutakua na michuano lelemama,Awamu hii kutakua na michuano migumu,Awamu hii kutakua na michuano mirahisi,1,"{
  ""answer"": 0
}  

The metaphor ""michuano lelemama"" implies that the competition will be tough or challenging, as opposed to easy or simple. Therefore, the option ""Awamu hii kutakua na michuano migumu"" is the closest in meaning.",0,,0
"Tofauti na dhana iliyokuwepo, mama ndiye kunguni wa familia","Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja",Mama siye anayeishikilia familia kwa pamoja,1,"{
  ""answer"": 0
}

Explanation: The metaphor here is comparing a mother to a bedbug in the family. In this context, the closest meaning would be that just like a bedbug holds the family together, the mother is also the one holding the family together. Option 0) Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja is the most appropriate meaning in this metaphor.",0,,0
Bahati ya mwenzio ilalie mlango wazi,Bahati ikimkuta mwenzio usisubiri ikufikie na wewe,Bahari ikimkuta mwenzio subiri ikufikie na wewe,1,"{
  ""answer"": 0
} 

In this metaphor, ""Bahati ya mwenzio ilalie mlango wazi"" translates to ""If luck befalls your neighbor, do not wait for it to reach you as well."" The closest meaning among the options is ""Bahati ikimkuta mwenzio usisubiri ikufikie na wewe"" which means ""If luck befalls your neighbor, do not wait for it to reach you as well."" This option conveys the idea that one should not passively wait for luck to come their way just because it has happened to someone else.",0,,0
Mwendo wake ni mithili ya twiga,Mwendo wake ni wa maringo,Mwendo wake si wa maringo,0,"{
  ""answer"": 1
}

Explanation: Twiga ni mnyama anayesifika kwa mwendo wake wa grasi na utulivu. Hivyo, mwendo wa twiga ni wa utulivu na si wa maringo. Option 1) ""Mwendo wake si wa maringo"" is the closest meaning to the metaphor.",1,,0
