Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
Òkèlè ẹ̀bà kan ni ọmọ náà jẹ lánàá,Ọmọ náà jẹ oúnjẹ púpọ̀,Ọmọ náà kò jẹ oúnjẹ púpọ̀,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Òkèlè ẹ̀bà kan ni ọmọ náà jẹ lánàá"" compares the child to a small-sized king, implying that the child is well-fed and pampered like royalty. Option 0) ""Ọmọ náà jẹ oúnjẹ púpọ̀"" translates to ""The child eats a lot of food,"" which aligns with the idea of being well-fed and pampered like a king. Therefore, option 0 is the closest meaning to the metaphor.",0,,0
Ọmọbìnrin náà rí bí i ẹyẹ ọ̀kín,Ọmọbìnrin náà rẹwà,Ọmọbìnrin náà burẹ́wà,0,"{
  ""answer"": 1
} 

In this metaphor, ""Ọmọbìnrin náà rí bí i ẹyẹ ọ̀kín,"" the comparison is being made between the woman and a bird. The closest meaning would be Option 1) Ọmọbìnrin náà burẹ́wà which translates to ""The woman is beautiful."" This meaning implies that the woman is as graceful and attractive as a beautiful bird.",1,,0
Àwọn ará ìlú ri pé Ẹkùn ni Ṣẹ́gun,Ṣẹ́gun ní ìgboyà,Ọ̀lẹ ni Ṣẹ́gun,0,"{
  ""answer"": 1
}

Explanation: The metaphor means that people in the town see Ṣẹ́gun as a mighty warrior or fierce hunter (Ẹkùn). The closer meaning is that Ṣẹ́gun is the hunter (Ọ̀lẹ) in this context.",1,,0
Àwọn ará ìlú ri pé Ìgbín ni Ṣẹ́gun,Ṣẹ́gun ní ìgboyà,Ọ̀lẹ ni Ṣẹ́gun,1,"{
  ""answer"": 0
}

Explanation: The phrase ""Àwọn ará ìlú ri pé Ìgbín ni Ṣẹ́gun"" translates to ""The people in the village see Ṣẹ́gun as a snail."" This is a metaphor implying that Ṣẹ́gun is slow or lazy. Option 0) ""Ṣẹ́gun ní ìgboyà"" translates to ""Ṣẹ́gun is a snail,"" which aligns with the metaphor. Option 1) ""Ọ̀lẹ ni Ṣẹ́gun"" translates to """,0,,0
Àwòko ni Àdìgún nínu orin kíkọ,Àdìgún mọ ọrin kọ,Àdìgún kò mọ orin kọ.,0,"{
  ""answer"": 1
} 

In this metaphor, the phrase ""Àwòko ni Àdìgún nínu orin kíkọ"" translates to ""The farmer is the key stakeholder in the cultivation of yam"". The two options are:
0) Àdìgún mọ ọrin kọ - Meaning ""The farmer knows the cultivation of yams""
1) Àdìgún kò mọ orin kọ - Meaning ""The farmer does not know the cultivation of yams""
The correct option is 1 because the metaphor implies that the farmer, being a crucial figure in yam cultivation, would not be ignorant of the",1,,0
Ọlọ́fin dídí ni Àdìgún nínú orin kíkọ,Àdìgún mọ ọrin kọ,Àdìgún kò mọ orin kọ.,1,"{
  ""answer"": 0
}

The metaphor ""Ọlọ́fin dídí ni Àdìgún nínú orin kíkọ"" translates to ""The chief priest is deeply immersed in the song ritual."" Option 0) ""Àdìgún mọ ọrin kọ"" means ""The priest understands the song."" This option is the closest meaning to the metaphor as it implies that the chief priest is actively involved and participating in the ritual, hence understanding the significance of the song.",0,,0
Ọmọ náà fò bí i ìgalà lánàá,Ara ọmọ náà balẹ̀,Ara ọmọ náà kò balẹ̀ rárá,0,"{
  ""Explanation"": ""This metaphor means the child is extremely stubborn, so it closely relates to the option where the child is seen as not being easily controlled or guided."",
  ""Answer"": 1
}",1,,0
Ẹlẹ́dẹ̀ ni Ìṣọlá nínu ilé rẹ̀,Ìṣọ̀lá ní ìmọ́tótó,Ìṣọ̀lá ní ọ̀bùn,1,"{
  ""Explanation"": ""This metaphor is comparing Ìṣọlá to a sweet aroma within her household, suggesting that she brings joy and positivity to her home."",
  ""Answer"": 0
}",0,,0
Ìṣọ̀lá má ń tún ilé rẹ̀ ṣe ní gbogbo nìgbà,Ìṣọ̀lá ní ìmọ́tótó,Ìṣọ̀lá ní ọ̀bùn,0,"{
  ""answer"": 1,
  ""explanation"": ""The metaphor suggests that Ìṣọ̀lá is like a tree rooted in its home, meaning Ìṣọ̀lá is deeply attached to their home.""
}",1,,0
Ìyá náà rí fàkìyà bí i àpáta Olúmọ,Ìyá náà tóbi / rọ̀bọ̀,Ìyá nàá kò tóbi / rọ̀bọ̀,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""Ìyá náà rí fàkìyà bí i àpáta Olúmọ"" translates to ""Mother saw the fàkìyà tree like the Olúmọ rock."" In this context, the fàkìyà tree is likely being compared to something strong and enduring because the Olúmọ rock is known for its stability. Therefore, option 0) Ìyá náà tóbi / rọ̀bọ̀ (Mother is strong / solid) is the closest meaning to the metaphor.",0,,0
Àwọ̀ rẹ rí bí i èédú tí wọ́n fí ń dáná,Àwọ̀ rẹ̀ dúdú gan,Àwọ̀ rẹ̀ pupa gan,1,"{
  ""answer"": 0
}

Explanation: The metaphor compares the appearance of someone's hands to burnt yam, which would mean that their hands are blackened or dirty. Option 0 (Àwọ̀ rẹ̀ dúdú gan) translates to ""your hands are very black,"" which fits the metaphor in this context. Option 1 (Àwọ̀ rẹ̀ pupa gan) translates to ""your hands are very red,"" which does not match the metaphor.",0,,0
Àkekèé fi oró inú rẹ̀ rán ọ̀rẹ́ rẹ̀ Òkété lọ sí ilé ijó,Àkekèé ṣekú pa Òkété,Àkekèé kò ṣekú pa Òkété,0,"{
  ""answer"": 1
} 

The metaphor ""Àkekèé fi oró inú rẹ̀ rán ọ̀rẹ́ rẹ̀ Òkété lọ sí ilé ijó"" translates to ""The snail invited his friend the tortoise to the party."" In this context, the snail is the initiator or host of the event, inviting the tortoise. Option 1) Àkekèé kò ṣekú pa Òkété (The snail did not refuse the tortoise) is the closest meaning to the metaphor, as it indicates the snail did invite",1,,0
Àpò ẹ̀wà méjì ni Bọ́lá jẹ kó tó sùn,Bọ́lá jẹ ẹ̀wà tó pọ̀ gan,Bọ́lá kò jẹ ẹ̀wà tó pọ̀,0,"{
  ""answer"": 1
}

Explanation: The metaphor ""Àpò ẹ̀wà méjì ni Bọ́lá jẹ kó tó sùn"" suggests that Bọ́lá is not feeling sleepy, as opposed to Bọ́lá being wide awake. Option 1) Bọ́lá kò jẹ ẹ̀wà tó pọ̀ is the closest meaning to the metaphor as it indicates that Bọ́lá is not asleep.",1,,0
Ẹ̀wà ṣíbí kan ni Bọ́lá jẹ kó tó sùn,Bọ́lá jẹ ẹ̀wà tó pọ̀ gan,Bọ́lá kò jẹ ẹ̀wà tó pọ̀,1,"{
  ""explanation"": ""In this metaphor, Bọ́lá is likened to a beautiful flower that does not wither, so the closest meaning is that Bọ́lá is a very beautiful person."",
  ""answer"": 0
}",0,,0
Arẹwà ni Àdùkẹ́ jẹ́ fún gbogbo àwọn ọkùnrin àdúgbò,Oní ṣìnà / Aṣéwó ni Àdùkẹ́,Àdùkẹ́ kì í ṣe Oní ṣìnà / Aṣéwó,0,"{
  ""Explanation"": ""In this metaphor, Àdùkẹ́ represents a comforting presence to older men, similar to a wife or caregiver. Option 1 captures this idea by stating that Àdùkẹ́ is not a prostitute, highlighting her role as a caretaker rather than a sexual object."",
  ""Answer"": 1
}",1,,0
Olójú àánú ni àwọn olóṣèlú Ẹ̀kó,Olè l'àwọn olóṣèlú ìlú Èkó,Àwọn olóṣèlú ìlú Èkó kì í ṣe olè,0,"{
  ""answer"": 1
}

Explanation: The metaphorical meaning of ""Olójú àánú ni àwọn olóṣèlú Ẹ̀kó"" is closest to option 1) Àwọn olóṣèlú ìlú Èkó kì í ṣe olè because it suggests that the leaders of Lagos State are not idle, they are proactive and hardworking. The phrase implies that the leaders are not lazy, but rather they are constantly working for the progress of the state.",1,,0
"Arákùnrín náà ga, ó sì dúdú bí i kóró iṣin",Arákùnrin náà rẹwà,Arákùnrin náà  kò rẹwà,0,"{
  ""answer"": 1
}

Explanation: The metaphor is comparing the friend to something black like charcoal, emphasizing that the friend is not reliable or trustworthy. Option 1) Arákùnrin náà kò rẹwà means ""The friend is not good"", which captures the essence of the metaphor.",1,,0
Àwọn ewé Ọsàn náà jó lóri igi,Atẹ́gùn fẹ́ àwọn ewé Ọsàn náà,Atẹ́gùn ò fẹ́ àwọn ewé náà,0,"{
  ""answer"": 1
}

The metaphor suggests that the leaves of the Ọsàn tree are dancing on the tree. Option 1) ""Atẹ́gùn ò fẹ́ àwọn ewé náà"" translates to ""The wind is not blowing those leaves."" This is closest to the metaphor as it implies that the leaves are moving by themselves on the tree, similar to how they would appear to be dancing.",1,,0
"Àkókò ń fà bí i ìgbín, a ò sí lè dúró de ẹnì kankan",Kò sí àkókò,Ọ̀pọ̀ àkòkò ló wà,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""Àkókò ń fà bí i ìgbín"" translates to ""Time moves like a snail."" The closest meaning is represented by option 0) Kò sí àkókò which translates to ""There is no time."" This option reflects the comparison of time moving slowly to a snail's pace.",0,,0
Àdìó ń sáré bí i ẹsin níbi ìdíje eré sísá lọ́sẹ̀ tó kọjá,Àdìò mo eré sá gan,Àdìò ò mọ eré sá,0,"{
  ""answer"": 1
}

Explanation: The metaphor is comparing someone who is very slow in making progress to a horse stuck in quicksand. Option 1, ""Àdìò ò mọ eré sá"", translates to ""One who moves slowly"" which aligns closely with the metaphor.",1,,0
Àdìó ń fò bí i ẹ̀fọn níbi ìdíje eré sísá lọ́sẹ̀ tó kọjá,Àdìò mo eré sá gan,Àdìò ò mọ eré sá,1,"{
  ""answer"": 0
} 

Explanation: The metaphor is comparing someone who knows the way to a destination to a guide who leads the way in the journey of life. Option 0) Àdìò mo eré sá gan (The guide knows the way well) is closer to the metaphor as it references the guide's knowledge of the path. Option 1) Àdìò ò mọ eré sá (The guide does not know the way) is not aligned with the metaphor.",0,,0
Ọkàn Ṣọlápé fẹ́lẹ́ bí i Àmàlà,Ọkàn Ṣọlápé le,Ọkàn Ṣọlápé rọ̀,0,"{
  ""question"": ""Ọkàn Ṣọlápé fẹ́lẹ́ bí i Àmàlà"",
  ""option0"": ""Ọkàn Ṣọlápé le"",
  ""option1"": ""Ọkàn Ṣọlápé rọ̀"",
  ""explanation"": ""This metaphor is comparing Ọkàn Ṣọlápé's desire for Àmàlà to either the act of abstaining or indulging. In this context, 'Ọkàn Ṣọlápé fẹ́l",1,NG,0
